cl1,cl2,dist,new_size
135,42,0.0072399,2
136,134,0.011331,2
146,140,0.0192068,2
157,124,0.0202466,2
103,93,0.0211849,2
33,3,0.0279213,2
30,1,0.0286699,2
153,131,0.0309265,2
198,174,0.0336977,2
72,51,0.0401856,2
35,32,0.041238,2
160,122,0.0415992,2
196,189,0.0421109,2
26,20,0.0424912,2
187,186,0.0431934,2
206,22,0.0435667,3
99,78,0.045517,2
205,2,0.0464747,3
155,127,0.0470796,2
195,165,0.0500495,2
96,80,0.0531405,2
202,149,0.0550968,3
137,117,0.0555339,2
100,82,0.0560953,2
208,179,0.0561607,3
200,41,0.0563575,3
158,150,0.0571993,2
37,24,0.0575737,2
14,213,0.0584696,3
107,91,0.0598877,2
89,81,0.0629523,2
173,164,0.0664258,2
34,13,0.066646,2
133,119,0.0686465,2
144,128,0.0707485,2
185,162,0.0710341,2
145,126,0.0714668,2
16,5,0.0719348,2
25,8,0.0721785,2
61,225,0.0753077,4
156,141,0.075516,2
88,73,0.0779831,2
210,27,0.0780591,3
212,169,0.0833078,3
171,224,0.0844835,4
54,45,0.0863179,2
201,114,0.0865714,3
132,123,0.0867922,2
204,109,0.0868845,3
147,120,0.0872904,2
97,230,0.0877885,3
39,17,0.0884688,2
19,15,0.0904899,2
67,57,0.0933721,2
245,68,0.0997218,3
38,29,0.100054,2
21,9,0.100894,2
28,23,0.104259,2
101,216,0.106317,3
105,250,0.10801,4
129,60,0.108039,2
79,77,0.11179,2
118,240,0.11198,3
257,232,0.112383,4
98,95,0.112516,2
235,219,0.112871,4
154,236,0.113027,3
209,63,0.113984,3
130,234,0.115289,3
47,44,0.118192,2
253,113,0.12068,3
242,10,0.125163,4
191,190,0.130216,2
182,167,0.130573,2
268,226,0.131893,5
249,222,0.135158,4
31,238,0.136476,3
214,166,0.13738,3
237,215,0.13978,5
151,266,0.139903,4
248,108,0.141534,4
139,40,0.142779,2
228,217,0.143719,6
62,239,0.146976,5
247,211,0.150786,4
69,53,0.153052,2
241,258,0.154192,5
92,75,0.155323,2
193,180,0.157346,2
231,192,0.161279,3
263,12,0.163217,5
85,220,0.163654,3
246,233,0.165325,5
106,280,0.16752,5
282,11,0.168303,7
272,188,0.172885,3
71,59,0.173134,2
152,138,0.174398,2
270,50,0.175516,4
276,18,0.183747,4
64,254,0.184314,4
104,86,0.18738,2
278,7,0.188445,6
84,261,0.189313,3
256,6,0.189673,3
269,55,0.19451,3
292,284,0.205936,9
283,49,0.20819,6
290,0,0.211707,6
142,116,0.212104,2
289,273,0.212757,5
197,175,0.215439,2
288,181,0.218913,3
36,227,0.219343,3
265,243,0.222279,7
65,56,0.226872,2
115,281,0.230501,3
90,286,0.230511,6
279,274,0.233117,9
304,294,0.233215,10
199,183,0.241647,2
293,301,0.245777,7
275,221,0.248318,7
300,285,0.251109,6
264,223,0.251119,4
305,267,0.255849,6
306,203,0.268381,11
159,297,0.268907,3
76,74,0.272208,2
172,168,0.274107,2
302,271,0.274921,10
207,218,0.281594,4
296,46,0.285182,3
295,277,0.288038,6
143,121,0.29125,2
70,52,0.303951,2
314,310,0.306251,12
262,260,0.317353,5
298,66,0.31894,5
324,87,0.325378,5
308,255,0.33182,8
291,259,0.332623,7
178,170,0.340903,2
335,48,0.348883,3
321,287,0.349603,9
316,148,0.361869,4
252,313,0.362501,5
244,336,0.365074,16
315,307,0.374086,8
326,309,0.377767,13
328,317,0.388908,8
340,319,0.389798,18
299,251,0.392425,6
320,177,0.393102,3
339,94,0.396213,6
334,125,0.398161,3
342,333,0.402375,8
332,43,0.413236,4
348,323,0.414758,14
349,322,0.435868,20
345,338,0.46149,9
329,312,0.471711,5
350,344,0.487848,17
347,311,0.49134,18
351,330,0.50926,28
337,331,0.51662,9
357,325,0.518045,10
362,354,0.536135,23
110,229,0.561895,3
366,343,0.56893,13
361,184,0.578761,6
303,111,0.592705,4
356,353,0.592871,11
355,112,0.598163,4
341,83,0.601561,8
364,352,0.602997,34
359,318,0.610482,29
363,176,0.675554,19
370,194,0.684695,7
377,372,0.718353,30
376,365,0.732849,38
368,367,0.735155,26
369,358,0.772191,27
375,346,0.795721,39
382,360,0.799559,36
381,374,0.816689,34
380,373,0.844091,42
379,163,0.918023,31
386,327,0.92625,45
371,102,0.940183,5
383,4,0.977601,40
387,378,0.986693,38
389,385,1.06653,39
391,161,1.19853,39
388,384,1.43228,81
394,58,1.66943,82
395,390,3.16416,122
393,392,5.27224,78
397,396,7.53995,200
