cl1,cl2,dist,new_size
47,54,0.0323703,2
81,88,0.0360919,2
22,35,0.0363524,2
74,98,0.0373311,2
76,77,0.0494985,2
27,32,0.0517645,2
26,39,0.0588079,2
87,95,0.0632934,2
97,79,0.0754441,2
17,18,0.077031,2
33,38,0.0822761,2
29,36,0.0825976,2
50,66,0.0883345,2
21,40,0.0904556,2
78,83,0.0912578,2
80,85,0.0923725,2
16,19,0.0953481,2
92,104,0.0993699,3
2,11,0.100553,2
44,102,0.105967,3
4,6,0.105994,2
37,105,0.107423,3
52,71,0.115879,2
25,34,0.118051,2
82,84,0.118255,2
48,68,0.120152,2
72,107,0.120153,3
8,116,0.129432,3
114,115,0.13478,4
58,59,0.144894,2
53,57,0.145004,2
10,120,0.149901,3
55,69,0.151713,2
108,90,0.156654,3
0,12,0.157846,2
101,103,0.161031,4
49,60,0.16161,2
20,24,0.16224,2
3,118,0.163851,3
93,94,0.165349,2
67,100,0.169057,3
14,109,0.176468,3
106,110,0.181687,4
65,70,0.183873,2
51,62,0.197415,2
41,111,0.200675,3
30,42,0.20439,2
113,119,0.217408,5
46,112,0.217845,3
23,45,0.218344,2
1,134,0.222744,3
86,126,0.22312,4
136,144,0.223146,4
127,141,0.224481,6
99,117,0.224767,4
7,138,0.226744,4
28,123,0.22724,3
31,142,0.228221,5
133,128,0.229419,7
61,140,0.246514,4
5,155,0.270004,5
43,156,0.279743,4
122,132,0.287065,4
125,130,0.297344,4
91,73,0.309456,2
13,131,0.312391,4
158,139,0.319324,9
121,149,0.320656,5
159,148,0.321608,7
150,153,0.358114,9
157,161,0.372497,9
15,165,0.385456,5
129,152,0.39444,6
137,145,0.423205,5
146,147,0.435673,7
164,151,0.444515,6
168,162,0.444575,11
63,163,0.462617,5
124,154,0.464174,6
75,178,0.508556,7
169,171,0.51412,14
167,173,0.554763,10
96,174,0.555715,8
160,180,0.559713,19
56,177,0.577074,6
170,182,0.583285,17
166,175,0.591462,15
172,176,0.610281,17
181,185,0.702391,27
143,187,0.729933,19
179,186,0.783295,22
9,183,0.825568,20
135,190,0.876011,26
184,189,0.890682,25
89,192,1.02301,27
64,193,1.37331,26
188,194,1.48853,54
191,196,2.94503,74
195,197,7.92098,100
