cl1,cl2,dist,new_size
47,54,0.0323703,2
81,88,0.0360919,2
22,35,0.0363524,2
74,98,0.0373311,2
76,77,0.0494985,2
27,32,0.0517645,2
26,39,0.0588079,2
87,95,0.0632934,2
79,97,0.0754441,2
17,18,0.077031,2
33,38,0.0822761,2
29,36,0.0825976,2
105,37,0.0831326,3
104,92,0.0833951,3
50,66,0.0883345,2
21,40,0.0904556,2
78,83,0.0912578,2
80,85,0.0923725,2
72,107,0.0952554,3
16,19,0.0953481,2
102,44,0.0976083,3
2,11,0.100553,2
4,6,0.105994,2
122,10,0.106199,3
52,71,0.115879,2
110,106,0.116292,4
25,34,0.118051,2
82,84,0.118255,2
116,117,0.119305,4
3,121,0.119966,3
48,68,0.120152,2
8,109,0.120647,3
108,90,0.121997,3
103,101,0.126181,4
131,119,0.128998,5
126,125,0.129093,6
132,128,0.142629,7
115,120,0.143475,5
58,59,0.144894,2
53,57,0.145004,2
55,69,0.151713,2
0,12,0.157846,2
100,67,0.159127,3
49,60,0.16161,2
20,24,0.16224,2
123,134,0.165169,8
93,94,0.165349,2
111,41,0.170601,3
28,135,0.171756,7
14,145,0.172727,9
136,146,0.173986,9
129,5,0.176932,4
114,140,0.177171,4
142,61,0.179055,4
86,118,0.181142,4
143,51,0.183463,3
65,70,0.183873,2
7,151,0.187664,5
155,62,0.193432,4
46,152,0.194023,5
157,149,0.194031,14
153,159,0.197043,9
124,158,0.197104,6
113,99,0.19735,4
112,45,0.202375,4
30,42,0.20439,2
31,148,0.210161,8
141,1,0.212904,3
137,166,0.213229,13
160,13,0.213775,15
73,150,0.215398,10
167,169,0.215492,18
23,164,0.218344,5
138,162,0.221539,8
173,161,0.222983,17
139,130,0.223976,4
168,91,0.228566,14
172,176,0.229419,19
165,177,0.23491,21
170,163,0.241195,14
175,174,0.254713,21
178,43,0.276104,22
180,63,0.287375,22
179,154,0.290755,18
181,147,0.291247,25
127,183,0.292988,20
171,15,0.294758,19
144,184,0.298934,27
185,187,0.309456,47
188,96,0.331427,48
182,156,0.335436,24
75,189,0.421024,49
133,191,0.457098,53
56,190,0.473162,25
9,186,0.515124,20
192,89,0.561913,54
193,64,0.644236,26
194,195,1.20293,74
196,197,5.35254,100
