cl1,cl2,dist,new_size
624,670,0.00245479,2
292,756,0.00325635,2
509,565,0.00348793,2
195,224,0.00498934,2
414,472,0.00645879,2
437,478,0.00650831,2
409,551,0.00735412,2
751,778,0.00780381,2
935,967,0.00817774,2
200,319,0.00848443,2
697,720,0.00851249,2
705,759,0.008604,2
773,807,0.00933588,2
698,749,0.0107893,2
470,580,0.0110217,2
10,100,0.0111522,2
661,797,0.0112193,2
133,135,0.0113304,2
465,554,0.0114098,2
873,929,0.0119705,2
416,577,0.0122234,2
855,862,0.0131879,2
212,233,0.0135206,2
427,557,0.0139926,2
784,812,0.0143064,2
405,510,0.0145536,2
950,956,0.0149855,2
780,823,0.0151012,2
899,992,0.0151891,2
264,657,0.0153891,2
480,499,0.0155297,2
1003,392,0.0157439,3
436,591,0.016073,2
241,326,0.016227,2
453,467,0.0164246,2
639,702,0.016498,2
844,939,0.0166486,2
262,369,0.0167976,2
1025,1032,0.0172736,4
46,131,0.0174391,2
38,141,0.017486,2
428,563,0.0176524,2
644,708,0.0178453,2
339,344,0.0180289,2
245,325,0.0180982,2
375,380,0.0183976,2
516,517,0.0184075,2
625,733,0.0186465,2
424,1002,0.0186614,3
348,818,0.0191586,2
139,145,0.0192068,2
255,346,0.0193325,2
815,825,0.0194865,2
253,362,0.0196048,2
410,1046,0.0197628,3
475,495,0.0199079,2
725,1013,0.02014,3
123,156,0.0202466,2
676,791,0.0205037,2
252,282,0.0206761,2
943,970,0.0209059,2
92,102,0.0211849,2
610,618,0.0216874,2
813,829,0.0217292,2
108,167,0.0219811,2
56,163,0.0221963,2
1016,822,0.0224292,3
422,533,0.022489,2
545,556,0.0232214,2
222,340,0.0233951,2
476,546,0.0234905,2
845,867,0.0236003,2
438,529,0.0236374,2
330,332,0.0236671,2
384,796,0.0237788,2
413,482,0.0238491,2
67,74,0.0240567,2
732,786,0.0241321,2
539,602,0.0242343,2
1017,188,0.0242886,3
1067,520,0.0244167,3
1072,548,0.024568,3
45,94,0.024581,2
208,213,0.0245962,2
869,951,0.0246594,2
1083,268,0.0248672,3
288,300,0.0249913,2
1041,458,0.0251294,3
636,763,0.025402,2
98,1079,0.0254501,4
658,719,0.0257383,2
971,986,0.0262052,2
486,534,0.0262081,2
524,612,0.0266803,2
202,294,0.0270955,2
1034,490,0.0272011,3
504,511,0.0273933,2
295,383,0.0274367,2
884,906,0.0274597,2
505,1080,0.027554,4
71,129,0.0278372,2
25,89,0.0278692,2
2,32,0.0279213,2
1092,1048,0.0279246,5
308,1051,0.0281477,3
364,715,0.028456,2
215,1045,0.0285711,3
0,29,0.0286699,2
41,1061,0.028815,3
1085,277,0.028883,4
1044,323,0.0290082,3
878,903,0.0290673,2
35,109,0.029265,2
324,1097,0.0295636,3
788,811,0.0296213,2
609,617,0.0297162,2
12,185,0.0297295,2
107,130,0.030092,2
244,401,0.0301817,2
471,594,0.0302063,2
22,148,0.0302511,2
423,547,0.0302657,2
663,740,0.0302841,2
649,1027,0.0302932,3
279,347,0.0303427,2
62,165,0.0303483,2
831,861,0.0305557,2
938,946,0.0307012,2
1117,152,0.0309257,3
296,1110,0.0309544,4
455,1030,0.0309716,3
874,993,0.0309911,2
328,1037,0.031067,3
1050,189,0.0313123,3
969,973,0.0315188,2
489,497,0.0315729,2
911,1026,0.0316431,3
1136,991,0.0317744,4
220,404,0.031821,2
9,1057,0.0320184,3
968,978,0.0321161,2
804,821,0.0321275,2
421,588,0.0326585,2
846,864,0.0326646,2
1053,1124,0.0327501,4
21,1107,0.0327503,3
198,269,0.0330914,2
627,793,0.0331697,2
723,800,0.0332922,2
426,496,0.0333613,2
345,391,0.0333661,2
218,274,0.0336805,2
692,743,0.033714,2
918,940,0.033835,2
28,187,0.0339374,2
267,281,0.0340351,2
37,58,0.0341298,2
445,537,0.0342253,2
451,485,0.0342409,2
260,310,0.0342752,2
1126,841,0.034281,3
419,1023,0.0342996,3
912,914,0.0343544,2
882,984,0.0344534,2
1160,922,0.0344564,4
321,1001,0.0344703,3
271,393,0.0344769,2
753,762,0.0344873,2
381,1118,0.0345329,3
1011,1141,0.0345711,4
679,1056,0.034651,4
27,86,0.034834,2
1031,396,0.0348539,4
1171,54,0.0350582,3
590,615,0.0350774,2
1143,887,0.0351094,3
1102,181,0.035147,3
228,374,0.0354486,2
894,1091,0.0355439,3
1071,931,0.0356045,3
1105,760,0.0356328,3
1093,569,0.0356551,3
1122,713,0.0358284,3
865,1028,0.0358587,3
932,936,0.0361662,2
378,1168,0.0361724,4
1162,921,0.0362129,3
1130,474,0.0362784,4
230,1185,0.0363397,5
40,1064,0.0364237,3
802,805,0.0368947,2
19,1101,0.0369645,3
259,333,0.0376025,2
203,376,0.0376072,2
934,959,0.0376769,2
1165,772,0.0378665,4
575,1181,0.0383365,4
1,1176,0.0384372,4
630,729,0.0384669,2
656,728,0.0385527,2
234,1109,0.0386372,5
513,544,0.0386454,2
211,338,0.0391148,2
1004,1062,0.0391219,4
895,1140,0.0393294,3
173,178,0.0393554,2
63,140,0.0395305,2
265,363,0.0395418,2
287,370,0.0398036,2
491,532,0.0398294,2
593,619,0.0400688,2
50,1100,0.0401866,3
941,963,0.0403819,2
307,367,0.0406453,2
207,242,0.0407,2
1207,1188,0.0407078,7
1087,487,0.040909,4
512,600,0.0409238,2
1148,1190,0.0409425,4
301,398,0.0409678,2
1161,620,0.0411057,4
31,34,0.041238,2
847,859,0.0412758,2
77,168,0.0413136,2
483,613,0.0415054,2
121,159,0.041599,2
60,1108,0.0416682,4
646,710,0.0416996,2
1036,994,0.0418002,3
1164,913,0.0418256,5
886,1134,0.0418311,3
306,1150,0.0418341,3
315,1074,0.0418498,3
498,1020,0.0419141,3
266,388,0.0419924,2
443,614,0.0420968,2
52,154,0.0421352,2
854,947,0.0422875,2
1219,755,0.0423552,3
1129,291,0.0428583,5
1043,382,0.0429287,3
327,1192,0.0431466,3
1223,1089,0.0431695,6
1116,186,0.0431934,3
1123,1052,0.0432856,5
1214,290,0.0433027,3
289,329,0.0434669,2
689,792,0.0434844,2
647,694,0.0435285,2
1120,1133,0.0437822,5
1081,589,0.0438848,4
1178,999,0.0440319,4
902,980,0.0440849,2
666,712,0.0443018,2
209,1177,0.0443337,3
1111,1228,0.044539,5
1065,172,0.0445534,3
11,1243,0.0445746,4
721,783,0.044688,2
1245,254,0.0446957,4
1144,1231,0.0446996,7
1149,1220,0.0447396,6
1095,1054,0.044956,6
527,1018,0.0451242,3
662,767,0.0451702,2
714,1247,0.0452164,3
651,674,0.0452445,2
16,84,0.0452474,2
1173,190,0.0452504,4
1103,616,0.0453103,6
1158,1262,0.0453678,8
1225,166,0.045369,3
477,481,0.0453885,2
1021,972,0.0456641,3
1189,1226,0.0459132,7
1131,955,0.046259,3
669,806,0.0465246,2
299,394,0.046725,2
852,1212,0.0468678,3
1217,521,0.0470593,3
126,1236,0.0470782,3
39,115,0.0471649,2
774,1169,0.0473941,5
1200,1106,0.0474233,8
1152,824,0.0475685,3
1187,479,0.0475761,5
1259,395,0.047741,5
216,1069,0.0480688,3
560,606,0.0480696,2
147,169,0.0480818,2
555,598,0.0482085,2
506,1210,0.0483237,3
1278,1251,0.0485434,7
1198,1284,0.0487285,5
232,341,0.0488949,2
49,1205,0.0490443,3
78,127,0.0491088,2
677,699,0.0491616,2
1227,1182,0.0491959,5
1239,1213,0.04937,7
1167,1058,0.0494143,4
261,1151,0.0494546,3
889,1230,0.0494831,4
493,597,0.0495211,2
1270,1288,0.0495726,10
930,976,0.0499725,2
1042,1090,0.0500245,4
