cl1,cl2,dist,new_size
70,77,0.0134038,2
28,35,0.0147048,2
26,34,0.0190891,2
42,56,0.0244524,2
85,92,0.0441146,2
19,22,0.0559461,2
71,72,0.0589539,2
46,54,0.0729582,2
95,96,0.0731372,2
91,97,0.0747687,2
10,13,0.0749674,2
39,107,0.0771328,3
0,8,0.078255,2
67,79,0.09537,2
89,90,0.0955891,2
84,94,0.0986655,2
1,4,0.109621,2
14,18,0.113058,2
104,109,0.118962,4
5,110,0.121367,3
44,111,0.121697,4
81,118,0.125907,5
43,120,0.129709,5
115,99,0.131339,3
29,37,0.139195,2
52,58,0.150357,2
122,50,0.150891,6
59,61,0.151414,2
63,66,0.16271,2
30,101,0.163678,3
113,73,0.166305,3
119,17,0.167724,4
25,27,0.17379,2
45,126,0.175874,7
123,98,0.176814,4
7,131,0.180332,5
41,133,0.18512,8
3,135,0.186448,6
62,130,0.188775,4
116,2,0.190955,3
127,106,0.191449,4
87,121,0.195563,6
139,15,0.196894,4
140,65,0.20394,5
36,38,0.208217,2
138,68,0.211643,5
9,16,0.219636,2
80,93,0.221383,2
128,100,0.226662,4
20,129,0.227972,4
148,143,0.2292,9
141,88,0.230862,7
105,102,0.232254,4
149,144,0.234268,6
114,134,0.236903,6
151,86,0.245087,8
146,137,0.247158,8
156,142,0.251599,12
75,78,0.256661,2
136,103,0.257021,10
60,145,0.274028,6
150,160,0.274461,15
74,161,0.30171,16
23,132,0.30527,3
82,155,0.305426,9
162,69,0.311996,17
12,117,0.313896,3
165,158,0.316566,19
48,57,0.319412,2
31,33,0.328838,2
167,76,0.330063,20
157,166,0.344188,15
152,169,0.352276,6
164,154,0.359966,15
112,171,0.360183,17
153,32,0.379413,7
159,53,0.381342,11
40,176,0.386977,12
163,24,0.387717,4
174,6,0.391928,18
21,175,0.392614,8
55,168,0.393096,3
173,108,0.395188,17
180,124,0.43837,10
178,183,0.444191,14
181,125,0.444756,5
177,185,0.45307,17
49,186,0.46269,18
172,184,0.463449,20
83,182,0.471049,18
147,189,0.512837,20
170,64,0.526866,21
187,47,0.542382,19
192,51,0.613454,20
179,193,0.778735,38
191,190,0.873298,41
194,11,0.906652,39
196,195,2.34574,80
188,197,2.83889,100
