cl1,cl2,dist,new_size
902,914,0.001454,2
664,701,0.00154406,2
317,340,0.00283021,2
240,371,0.00437609,2
338,1002,0.00450786,3
503,578,0.00586012,2
209,227,0.00641207,2
466,595,0.00675708,2
219,300,0.00684319,2
251,320,0.00745839,2
637,694,0.00766848,2
71,78,0.00772016,2
908,943,0.00912435,2
635,697,0.00948262,2
53,117,0.00953386,2
834,842,0.00959005,2
974,998,0.00995601,2
1004,1008,0.0103021,5
410,494,0.0103161,2
16,166,0.0108552,2
862,928,0.0111613,2
897,1016,0.0115877,3
87,174,0.011637,2
612,616,0.012046,2
458,519,0.0121498,2
678,767,0.0121732,2
920,988,0.0122284,2
559,1024,0.0124218,3
229,344,0.0133265,2
67,74,0.0134031,2
50,112,0.0138374,2
472,511,0.0143821,2
234,1017,0.0145731,6
25,32,0.0147057,2
475,541,0.0151925,2
598,679,0.0152491,2
906,1026,0.0153308,3
17,56,0.0153312,2
31,194,0.0157912,2
607,724,0.0162481,2
633,758,0.0164079,2
507,585,0.0168076,2
432,497,0.0170413,2
443,455,0.0173419,2
208,241,0.0176303,2
702,777,0.0176875,2
644,656,0.0177269,2
949,1020,0.0181467,3
425,463,0.0181491,2
1,201,0.0188776,2
677,1001,0.0189122,3
149,169,0.0190194,2
23,1038,0.0190887,3
429,470,0.019381,2
11,152,0.0194164,2
649,773,0.0196819,2
247,391,0.01972,2
226,245,0.0197988,2
657,1055,0.0200965,3
284,399,0.0201574,2
295,368,0.0202242,2
512,558,0.0203669,2
177,185,0.0208136,2
36,148,0.0210155,2
875,877,0.0212381,2
21,168,0.0215079,2
829,910,0.0216318,2
404,406,0.0217733,2
260,275,0.0219157,2
150,187,0.0219474,2
651,671,0.0219494,2
588,1048,0.0222415,3
10,1062,0.0223711,3
858,905,0.0224712,2
7,51,0.0225354,2
39,1014,0.0226757,3
645,682,0.0227253,2
960,993,0.022748,2
262,278,0.0228944,2
614,741,0.0228988,2
96,1033,0.022952,3
1036,1064,0.0229749,5
288,346,0.0231939,2
493,1043,0.0232768,3
669,745,0.0232955,2
160,173,0.0238106,2
620,705,0.0239808,2
243,329,0.0240712,2
218,319,0.0242489,2
85,157,0.0243728,2
628,653,0.0245746,2
510,596,0.0246081,2
272,1059,0.0246781,3
352,386,0.0252678,2
565,571,0.0255922,2
186,1063,0.0258235,3
250,384,0.0260119,2
835,857,0.0260287,2
263,313,0.0262942,2
600,721,0.0263948,2
866,972,0.0265698,2
873,922,0.0267478,2
531,1042,0.0268434,3
732,768,0.0269699,2
357,366,0.0271546,2
89,1095,0.027163,4
255,375,0.0272528,2
214,360,0.0273383,2
869,947,0.0275084,2
380,1060,0.0275122,3
692,786,0.0275394,2
367,1003,0.0275818,3
414,447,0.027675,2
670,1110,0.0279126,3
326,333,0.0279877,2
735,749,0.0282078,2
1044,1096,0.0282093,4
124,147,0.0282182,2
979,983,0.0282694,2
696,1115,0.0286613,3
618,1050,0.0287185,4
2,43,0.0288463,2
457,538,0.02889,2
355,1098,0.028939,3
252,305,0.0297317,2
608,711,0.0304739,2
476,533,0.0306957,2
498,592,0.0308107,2
207,377,0.0308859,2
870,930,0.0311592,2
153,1065,0.0312591,3
415,521,0.0313091,2
30,54,0.0315276,2
932,996,0.0316779,2
106,129,0.0316947,2
5,69,0.0316987,2
621,738,0.031733,2
687,1120,0.0318474,5
40,1051,0.0320424,3
667,1113,0.032151,4
750,779,0.0323952,2
0,84,0.0324146,2
690,725,0.0325023,2
734,1039,0.0325562,3
852,868,0.0325834,2
661,772,0.03268,2
452,568,0.0327619,2
630,686,0.0327745,2
854,937,0.0328555,2
108,195,0.0330058,2
817,963,0.0332064,2
627,776,0.0332943,2
14,170,0.0334002,2
213,216,0.0334784,2
496,554,0.03371,2
655,681,0.0340368,2
744,1023,0.0340569,3
97,114,0.0342599,2
474,1112,0.0343217,3
855,940,0.0343337,2
1074,1105,0.0343992,6
119,137,0.0345072,2
603,778,0.0345901,2
133,191,0.034719,2
717,1139,0.0348901,5
38,94,0.0349384,2
75,1052,0.0349473,4
799,1133,0.0350314,3
622,737,0.0351275,2
353,1006,0.0352023,3
1057,1082,0.0354073,4
13,183,0.0356464,2
369,1032,0.035737,7
192,196,0.0357531,2
1009,1123,0.0358122,5
41,1011,0.0358122,3
411,527,0.0358881,2
426,556,0.0359462,2
91,127,0.0360823,2
431,1176,0.0365582,3
1070,1145,0.0366503,4
427,478,0.0367369,2
221,393,0.037254,2
88,1152,0.0373367,3
609,676,0.0374136,2
880,904,0.0374437,2
658,1084,0.0374812,3
180,1069,0.0374901,3
898,968,0.0375027,2
488,552,0.0375171,2
955,959,0.0376043,2
253,307,0.0377436,2
200,1149,0.0378603,3
1107,1170,0.0379231,6
82,1072,0.0380278,4
795,939,0.0381444,2
770,1164,0.0382124,6
1068,1109,0.0383236,5
723,752,0.0383714,2
634,709,0.0384066,2
704,1119,0.0384712,4
134,1029,0.0385307,3
1066,1195,0.0385752,4
853,892,0.0386741,2
265,1153,0.0388422,3
62,1054,0.0389918,3
248,285,0.0390848,2
934,978,0.0393263,2
482,593,0.0394046,2
544,563,0.0394581,2
508,1027,0.0396413,4
1160,1194,0.0397228,10
925,1047,0.0397546,4
304,359,0.0397886,2
860,935,0.0398903,2
115,125,0.0399672,2
220,1213,0.0401162,3
485,575,0.0401841,2
800,944,0.0402455,2
1012,1150,0.0402679,4
164,1157,0.0403369,3
674,1010,0.0405062,3
509,1208,0.0405092,3
1106,1204,0.0406612,5
729,1155,0.0406866,3
335,1197,0.0407638,6
467,1018,0.0408354,3
29,105,0.0408723,2
660,733,0.0409294,2
444,1131,0.0411125,3
789,927,0.0414759,2
256,259,0.0414832,2
282,392,0.04165,2
349,376,0.0416932,2
820,851,0.0418759,2
383,389,0.0420747,2
989,990,0.0420919,2
976,1129,0.0422169,3
714,1228,0.0422512,3
334,365,0.0423473,2
812,872,0.0424786,2
986,1097,0.0425279,3
437,465,0.0425529,2
594,1222,0.0425559,4
1114,1216,0.042823,5
449,572,0.0428447,2
506,550,0.0429055,2
997,1214,0.042978,3
903,1207,0.0431496,3
529,1061,0.0432642,3
601,1013,0.0433708,3
362,398,0.0433995,2
35,1187,0.0435455,4
254,1116,0.0435682,5
433,491,0.0435837,2
215,268,0.0436734,2
580,1091,0.0439066,3
217,1078,0.0439304,3
210,345,0.0440055,2
462,1126,0.0440599,3
599,1143,0.044076,4
700,787,0.044377,2
802,889,0.0445059,2
24,139,0.0447842,2
867,1218,0.0449005,3
803,833,0.0449465,2
145,163,0.0451386,2
642,1079,0.0451477,3
15,1037,0.0451646,3
815,1241,0.0454824,4
1087,1174,0.0455112,7
952,953,0.0455179,2
269,1251,0.0456146,3
942,965,0.0456282,2
666,1180,0.0456346,5
1031,1217,0.0457616,4
343,1231,0.0457999,3
477,1179,0.0458106,4
1035,1103,0.0458802,4
587,1277,0.0458878,5
739,1147,0.045963,3
881,1212,0.0462323,5
545,1229,0.046236,4
316,396,0.0462625,2
107,140,0.0463113,2
99,1135,0.0463755,3
826,1219,0.0465449,5
350,1028,0.046594,3
19,1019,0.0467566,3
921,1185,0.0468309,3
636,647,0.0468708,2
202,1255,0.0472369,3
244,385,0.0473672,2
379,1225,0.0474649,7
454,1254,0.0475043,3
896,1286,0.0477637,6
757,1280,0.04784,4
336,390,0.0479396,2
76,138,0.047941,2
675,753,0.0479506,2
534,567,0.0480016,2
957,1000,0.0481052,3
605,1198,0.0482776,3
264,1291,0.0487496,4
277,310,0.0488124,2
1186,1238,0.0488136,6
958,1100,0.0488637,3
648,650,0.0488688,2
98,1134,0.0491344,3
57,1163,0.0493472,3
846,918,0.0493887,2
309,395,0.0494457,2
223,318,0.0494683,2
1076,1099,0.0495061,4
539,548,0.0495717,2
1090,1224,0.049673,5
893,1073,0.0497132,3
994,1148,0.0498609,3
847,941,0.0498871,2
95,1268,0.0499316,4
47,121,0.0500469,2
573,1279,0.0501301,6
641,646,0.0503284,2
204,1093,0.0503817,3
891,1203,0.0506096,3
60,104,0.0506336,2
90,111,0.0509933,2
969,1318,0.0509996,3
691,1196,0.0510543,7
504,1083,0.0511234,4
604,639,0.0511311,2
1144,1327,0.0513042,5
809,1269,0.0513062,5
1193,1323,0.0513508,9
1021,1271,0.0514652,5
303,1333,0.051471,10
629,1260,0.0515269,5
579,1256,0.0515838,4
238,267,0.051696,2
179,1215,0.0517623,3
499,1146,0.0518112,3
794,1332,0.0518157,6
249,1128,0.0518264,3
126,1166,0.052138,5
532,1189,0.052139,3
289,341,0.0522387,2
228,332,0.0528231,2
130,1165,0.0529282,3
450,583,0.0530966,2
28,1266,0.0531413,3
480,584,0.0531437,2
549,1067,0.0531511,3
155,159,0.0532932,2
919,1341,0.0533671,7
1181,1245,0.0534297,4
638,720,0.0535147,2
1171,1309,0.0535591,5
1202,1331,0.0535601,9
3,52,0.0535649,2
801,1240,0.053587,3
501,1275,0.053614,5
1270,1335,0.0536348,17
407,422,0.0537143,2
916,1334,0.0538195,6
643,659,0.053838,2
673,1200,0.0539373,5
286,1182,0.0540249,3
901,991,0.054311,2
617,730,0.0543913,2
441,577,0.0546211,2
740,784,0.0546561,2
731,1086,0.0546664,3
424,574,0.0547545,2
764,1184,0.0548599,3
1220,1308,0.0549629,6
324,1232,0.0549783,3
70,181,0.0550919,2
654,1368,0.0551385,3
850,895,0.0552782,2
1056,1276,0.0553763,5
448,546,0.0554955,2
418,428,0.0555064,2
747,755,0.0555883,2
293,312,0.0556374,2
615,1151,0.055648,3
232,1361,0.0556924,18
840,1317,0.0558397,4
12,103,0.0559008,2
680,771,0.0561339,2
417,530,0.0561649,2
536,1158,0.0562085,4
1117,1175,0.0563385,5
798,887,0.056944,2
610,706,0.0569492,2
156,1075,0.0570805,4
1138,1201,0.0571899,6
662,719,0.0572463,2
1210,1372,0.0572729,6
199,1376,0.0572975,3
543,557,0.0574407,2
754,1382,0.0574654,3
1278,1307,0.0576636,6
1183,1347,0.057698,6
1081,1301,0.0579919,8
886,1167,0.0580126,4
413,445,0.0580512,2
861,1265,0.0581459,3
1034,1362,0.0583818,4
839,982,0.0584216,2
420,1282,0.0585028,5
562,1407,0.0586202,5
1294,1340,0.0586872,6
623,1328,0.0586926,8
1299,1384,0.0587407,5
416,581,0.0587611,2
468,1411,0.0587759,7
703,1296,0.0588028,5
1261,1364,0.0588714,4
68,1285,0.0589539,4
871,900,0.0591654,2
64,1298,0.0591964,3
464,523,0.0593287,2
828,911,0.0594232,2
1041,1053,0.0594836,4
816,966,0.0595058,2
663,683,0.0596035,2
59,1080,0.0596238,4
361,1311,0.0596609,3
321,1346,0.0597416,3
684,1413,0.0598361,6
291,1223,0.0598805,6
438,1344,0.0599934,4
843,1359,0.0600565,4
274,325,0.0601321,2
1381,1414,0.060136,4
808,899,0.0604891,2
120,1319,0.0605097,5
961,1230,0.0608048,3
570,1410,0.0609098,6
1314,1431,0.0609264,6
394,1345,0.0609381,3
1236,1437,0.06105,5
964,1424,0.0610743,3
1022,1205,0.0611723,5
1247,1353,0.0612643,10
831,1015,0.0615343,3
311,1342,0.0616441,4
1295,1357,0.0616749,15
1421,1434,0.0617414,6
273,358,0.0617644,2
83,1320,0.0617918,3
331,1379,0.0617996,6
490,1246,0.0618306,3
804,1442,0.062001,4
913,1306,0.0620085,4
1369,1452,0.062018,5
1400,1429,0.062032,9
1077,1234,0.0620733,4
281,356,0.0621859,2
189,1178,0.0624503,3
1192,1288,0.0624622,6
1403,1447,0.0625005,23
946,1441,0.0626113,6
810,830,0.0626582,2
518,1455,0.0626707,6
1206,1303,0.0627021,6
1221,1371,0.0627547,6
1387,1459,0.0627831,5
822,865,0.0629191,2
748,1416,0.0630654,6
1154,1360,0.0632815,7
61,167,0.0634731,2
582,1389,0.0635598,3
73,198,0.0635783,2
1211,1460,0.0636705,16
63,141,0.0637124,2
602,766,0.063929,2
1005,1209,0.0639675,4
981,992,0.0640069,2
292,1433,0.0642351,3
625,1025,0.0642382,3
1394,1474,0.0642874,20
1315,1412,0.0643091,13
845,864,0.0643221,2
1293,1458,0.0643939,9
430,1390,0.0644257,5
984,1462,0.0645863,7
1136,1137,0.0646516,7
1392,1454,0.0647862,6
513,516,0.0647966,2
825,1432,0.0652412,5
1118,1324,0.0653712,5
37,151,0.0654373,2
440,1397,0.065503,7
926,1101,0.0656169,3
239,1169,0.0656662,4
1367,1444,0.0657539,12
1395,1450,0.0657824,9
235,1297,0.065811,3
502,1464,0.0658254,7
1273,1404,0.0659085,6
1130,1325,0.0659329,5
589,1380,0.06594,3
233,315,0.0660365,2
175,1481,0.0661218,21
1457,1486,0.0662279,11
761,1482,0.0662855,14
564,569,0.0663442,2
419,456,0.0664559,2
1316,1496,0.0671972,15
1420,1504,0.067321,24
823,962,0.0673698,2
1329,1485,0.0675592,9
1172,1385,0.0677638,25
819,1461,0.0677727,24
481,1348,0.0679168,3
123,1356,0.067925,6
1363,1509,0.0679607,21
1292,1513,0.0681591,27
1448,1512,0.0681884,15
762,1396,0.0684887,3
970,1108,0.0685096,3
699,1336,0.0685891,6
1491,1517,0.0686731,26
695,1417,0.0687244,5
290,1104,0.0688019,3
1391,1510,0.0688184,29
520,1071,0.0691896,4
1272,1430,0.0692016,9
257,1287,0.0695857,4
1092,1495,0.0699103,7
715,1355,0.0702263,3
1409,1423,0.0704145,9
1243,1438,0.0707384,10
1386,1523,0.0707565,30
1310,1483,0.0709649,4
446,1472,0.0709923,4
1253,1484,0.0711185,14
995,1445,0.071221,4
302,1479,0.0712537,4
33,1030,0.0713241,3
535,1321,0.0714052,7
844,1521,0.0714625,4
230,237,0.0718246,2
1058,1305,0.071977,9
483,526,0.0721011,2
299,1375,0.0723445,4
746,1140,0.0723507,3
537,1527,0.0724104,5
1503,1528,0.0724121,11
1351,1399,0.0724235,5
58,1252,0.0725496,5
280,322,0.0725524,2
1354,1477,0.0725711,8
1177,1415,0.0726137,9
1469,1524,0.0726522,11
1519,1532,0.0728342,24
1242,1470,0.0729281,9
1121,1526,0.0729568,31
92,93,0.0731372,2
1337,1553,0.0731912,12
590,1102,0.0732342,4
459,566,0.0736254,2
225,301,0.0738028,2
1490,1534,0.0738641,35
4,1558,0.0740431,32
1111,1440,0.0741327,6
553,1554,0.0741416,10
551,561,0.0741715,2
1168,1544,0.0742488,11
193,1516,0.0743034,7
484,1350,0.0744404,3
863,1564,0.0745585,36
1049,1426,0.0746047,6
1094,1560,0.0746092,14
143,1089,0.0746629,3
109,1540,0.0748311,4
182,1570,0.0748563,8
287,1539,0.0749136,5
203,1191,0.0750643,3
742,1162,0.0752723,3
1374,1467,0.0753284,11
1550,1556,0.0754947,29
1302,1555,0.0756288,14
856,1505,0.0757033,12
81,110,0.0762295,2
1514,1584,0.0762589,36
276,1498,0.0764657,4
780,1040,0.0765104,3
1283,1446,0.0765644,6
522,1571,0.0767882,4
1274,1583,0.0768163,19
372,1518,0.0768226,28
885,1542,0.0768522,5
525,1568,0.0770447,3
1419,1572,0.0772573,38
1546,1578,0.0773641,9
1122,1249,0.0773757,5
912,1595,0.0774193,39
672,1588,0.0775221,4
951,1538,0.0775273,5
27,1284,0.0775981,3
1124,1304,0.0776924,4
165,1352,0.0777331,3
980,1586,0.0778186,37
176,1501,0.0780594,6
122,1577,0.0781602,9
1537,1566,0.0781954,20
6,1606,0.0782421,10
1388,1591,0.0789058,21
46,1263,0.0789112,3
716,1599,0.0790162,5
1453,1598,0.079357,43
540,586,0.079518,2
763,1199,0.079983,3
439,1493,0.0802019,8
796,1535,0.0802086,5
171,1418,0.0802181,5
879,1264,0.0802726,4
374,1239,0.0803103,3
1132,1608,0.0803366,12
142,1227,0.080391,3
1007,1574,0.0803946,16
781,1370,0.080413,3
1405,1561,0.0805194,6
1373,1466,0.0806567,9
116,1471,0.0807309,3
1582,1622,0.0812215,45
421,1627,0.0813037,46
397,1602,0.0815353,5
1465,1607,0.081578,26
713,1531,0.0818015,4
1313,1506,0.0820077,18
813,1612,0.0820873,44
1456,1609,0.0821565,30
205,1596,0.0821947,10
1475,1605,0.0822133,8
1551,1617,0.0822829,10
1573,1581,0.0823644,17
297,1579,0.0824562,4
1159,1494,0.0828476,5
1427,1530,0.083027,10
1569,1632,0.0831724,29
100,1610,0.0831888,4
1161,1358,0.0834796,4
805,1633,0.0836686,45
1500,1645,0.0836933,51
1401,1425,0.0837261,8
212,1592,0.0837306,29
1045,1480,0.083853,5
364,378,0.0841289,2
1487,1634,0.0841717,37
1244,1648,0.0843566,34
258,330,0.0843635,2
1259,1628,0.0845856,49
783,1651,0.0846836,38
1565,1620,0.0847967,44
1383,1639,0.0850311,6
188,1173,0.0851464,3
1604,1646,0.0853831,88
712,727,0.0854493,2
718,1522,0.08545,7
1548,1557,0.0857368,14
811,924,0.0857813,2
222,1451,0.0858661,7
1312,1630,0.0859371,28
1585,1638,0.085964,19
791,1422,0.08603,3
1647,1655,0.0861478,46
917,1659,0.0862957,89
1497,1666,0.0865024,28
1663,1669,0.0867209,91
44,528,0.086837,2
1636,1670,0.0869409,36
1127,1515,0.0871758,5
1449,1549,0.0872508,13
72,128,0.0873646,2
86,1443,0.0874645,6
1398,1603,0.0875188,6
1378,1616,0.0876467,7
453,1624,0.0876997,7
144,1575,0.0877375,4
400,1657,0.0877672,7
1597,1662,0.0878665,19
894,999,0.0879902,2
242,1665,0.0880617,29
1468,1511,0.0881434,4
882,950,0.088208,2
884,1667,0.0882405,4
1476,1668,0.0884412,48
1290,1642,0.0885578,31
707,1631,0.0888527,5
401,1682,0.0888823,8
1463,1671,0.0888886,93
266,1619,0.0890083,4
1590,1654,0.0890379,53
442,1489,0.0892311,3
824,836,0.0893226,2
387,1650,0.0895725,3
1576,1677,0.0896155,10
1661,1689,0.0899033,55
294,1529,0.0902898,5
77,1644,0.0904846,5
206,1235,0.0906328,3
436,1439,0.0910386,7
1402,1656,0.0910558,50
1393,1611,0.0910815,7
1339,1705,0.0911282,53
722,1623,0.0912507,4
1683,1704,0.0914616,26
1664,1675,0.0918258,20
751,1700,0.0919893,56
1594,1709,0.0920493,29
1673,1678,0.0920645,42
668,726,0.0921346,2
1499,1674,0.0921705,12
909,1262,0.0924703,3
1533,1712,0.0926942,39
1695,1717,0.0927102,92
793,1693,0.0928001,94
1686,1719,0.0928241,98
1525,1710,0.0929291,23
1088,1543,0.0930852,4
1690,1708,0.0931542,35
211,231,0.0931802,2
945,1697,0.093498,3
354,1589,0.0938269,7
1615,1718,0.093962,100
405,1567,0.0943504,11
1142,1625,0.0947207,11
351,363,0.0949015,2
756,1711,0.0949044,57
797,956,0.0951125,2
1680,1727,0.09516,107
1649,1723,0.095212,40
890,948,0.0954238,2
611,685,0.0955066,2
65,1707,0.0957335,54
1618,1720,0.0957575,102
883,1478,0.0957938,3
1326,1349,0.0958964,5
1681,1737,0.0959569,58
1629,1721,0.0962164,28
1156,1731,0.0968668,60
1428,1742,0.0970311,31
1046,1520,0.0970702,5
1322,1691,0.0970766,7
1488,1593,0.0970928,11
1541,1733,0.0971786,114
308,1257,0.097602,4
1237,1738,0.0977043,105
606,1714,0.0978747,3
931,1735,0.0978897,3
1729,1745,0.0979771,16
1508,1536,0.0982249,6
640,1743,0.0982886,61
423,560,0.0992852,2
327,328,0.0995609,2
246,1685,0.0995653,30
26,55,0.0997743,2
408,1613,0.100004,3
1652,1744,0.100358,65
838,878,0.100445,2
1587,1758,0.100647,34
1637,1713,0.100726,52
261,337,0.101558,2
1715,1754,0.10169,18
283,1641,0.101809,11
42,1764,0.102068,53
1436,1768,0.102079,58
517,1748,0.102156,115
1679,1747,0.102254,18
689,708,0.102276,2
1635,1761,0.102278,75
1226,1770,0.102352,118
1726,1773,0.102905,82
154,409,0.102905,2
495,1766,0.102965,19
1267,1365,0.103027,8
489,1676,0.103141,3
487,1777,0.103164,20
1545,1774,0.103732,120
1694,1698,0.103738,7
1722,1763,0.104152,38
500,1781,0.1043,121
769,1755,0.104603,62
1741,1769,0.10497,116
1780,1784,0.105012,141
597,1787,0.105071,142
785,1785,0.105492,63
1250,1789,0.105577,66
1601,1786,0.106497,119
1746,1790,0.106766,73
971,1750,0.106888,106
1775,1783,0.107015,120
1753,1792,0.107028,89
1732,1762,0.107043,4
1728,1788,0.107423,153
402,1233,0.107503,3
977,1793,0.107534,107
306,373,0.107716,2
938,1796,0.107825,5
1740,1791,0.107889,124
652,1736,0.108508,3
907,1190,0.10855,3
665,1734,0.10917,41
1125,1805,0.10917,43
954,1684,0.110015,3
178,1658,0.110312,4
1778,1795,0.110376,97
412,1797,0.112051,154
1366,1794,0.112102,123
1640,1799,0.112575,112
1699,1802,0.113058,134
710,1330,0.113239,3
1281,1812,0.113668,117
197,1779,0.113687,4
1702,1813,0.114356,139
1806,1809,0.114845,140
790,1771,0.115115,19
1749,1767,0.115249,15
162,1817,0.115774,140
728,1377,0.115785,4
876,1819,0.116041,20
1473,1559,0.116245,4
698,760,0.116647,2
1338,1692,0.117059,10
347,1765,0.117489,3
1580,1818,0.11759,143
626,775,0.118117,2
9,1492,0.118357,3
118,1821,0.118359,141
821,874,0.118549,2
814,1804,0.118617,4
66,1831,0.118673,142
434,547,0.119032,2
1258,1703,0.119146,5
131,1824,0.119192,5
1801,1815,0.119612,122
841,1248,0.119915,4
888,1823,0.120516,21
1706,1828,0.120766,150
161,1808,0.121267,5
1701,1782,0.122173,12
314,1843,0.122343,13
382,1811,0.122431,124
1547,1841,0.122554,153
381,1724,0.122587,3
1826,1845,0.123214,134
1725,1838,0.123771,125
985,1600,0.124539,6
1621,1830,0.124568,6
1776,1810,0.124708,156
1836,1848,0.125633,139
1188,1849,0.125731,127
146,1851,0.126286,7
1626,1834,0.126787,145
1614,1846,0.126953,156
132,1759,0.127077,3
515,1852,0.127363,157
1289,1854,0.127559,130
1856,1858,0.128489,148
1730,1853,0.128532,141
1840,1860,0.130186,151
473,479,0.131238,2
461,1859,0.131279,158
1842,1861,0.13168,153
1825,1857,0.131776,158
1822,1867,0.131829,162
849,1406,0.132569,4
1687,1863,0.132675,153
1696,1865,0.132805,161
1141,1866,0.133396,155
1820,1862,0.133963,156
1085,1872,0.134524,157
806,1870,0.135296,154
1850,1869,0.135804,10
34,49,0.136778,2
1760,1871,0.136915,164
1672,1878,0.137094,166
1875,1876,0.137207,164
1660,1814,0.137539,5
1874,1877,0.139194,159
591,1879,0.140065,167
782,1868,0.140203,163
1435,1716,0.140384,5
101,1882,0.140714,160
1752,1880,0.141641,167
1798,1873,0.142519,159
1507,1883,0.142617,169
1833,1887,0.143904,171
136,1886,0.143944,161
1772,1884,0.14406,165
1408,1890,0.144081,173
1837,1891,0.144092,166
1343,1894,0.144795,171
370,1844,0.144809,14
1739,1839,0.145214,7
20,1895,0.145358,172
184,1855,0.145445,8
736,1892,0.145934,166
469,1889,0.146107,170
323,1653,0.147153,3
1807,1893,0.147463,176
48,1898,0.147753,173
1897,1903,0.14839,183
1803,1900,0.149749,169
190,1904,0.149843,174
451,1907,0.151872,175
113,1901,0.151911,171
859,1885,0.152064,6
619,1906,0.152203,170
435,1909,0.153993,172
555,1912,0.155137,173
923,1910,0.15595,7
1816,1913,0.158527,177
236,270,0.158859,2
298,1757,0.159804,3
135,1908,0.159881,176
22,1643,0.159919,5
807,933,0.161196,2
1888,1902,0.161723,162
80,1915,0.162894,178
693,1911,0.163366,171
1502,1922,0.163806,181
1300,1924,0.164235,183
774,1829,0.164381,3
524,1925,0.164707,184
1800,1921,0.166618,164
1918,1927,0.167001,360
1835,1929,0.167716,362
339,342,0.168569,2
471,1930,0.169753,363
1916,1928,0.170783,166
1881,1923,0.171056,176
79,1932,0.172956,364
1899,1935,0.17319,372
514,1936,0.173318,373
1563,1896,0.173488,16
1931,1938,0.174236,18
348,388,0.174618,2
542,1937,0.177169,374
172,1919,0.177662,6
788,1905,0.178238,184
624,759,0.17975,2
1914,1943,0.182172,191
224,1933,0.185477,167
848,1945,0.185949,192
1847,1939,0.186761,21
1946,1948,0.187604,188
403,1941,0.188069,375
688,743,0.189779,2
967,1947,0.192954,193
1688,1952,0.194147,197
613,1934,0.197012,177
102,1950,0.200305,376
1832,1953,0.201297,199
1756,1955,0.202441,378
837,1956,0.202757,200
296,1827,0.203595,4
1864,1957,0.206231,380
45,1960,0.208283,381
631,1954,0.209603,178
505,1961,0.211113,382
1920,1958,0.212185,202
1944,1962,0.213007,180
632,1965,0.213088,181
832,1964,0.214601,203
1917,1949,0.215024,191
1942,1963,0.218104,388
915,929,0.218502,2
1926,1966,0.219208,184
8,1969,0.228041,389
1751,1971,0.235662,187
818,1967,0.240092,204
576,1972,0.241709,390
987,1974,0.245874,205
1959,1968,0.253681,195
1552,1977,0.255089,197
279,1978,0.256089,198
1970,1976,0.258053,207
18,1975,0.261388,391
936,975,0.263076,2
1980,1982,0.266846,209
1562,1981,0.267211,393
765,1973,0.267355,188
1951,1985,0.285094,190
1940,1979,0.291328,200
492,1984,0.307173,394
460,1988,0.33858,395
792,1983,0.34228,210
827,1990,0.387167,211
158,1989,0.460891,396
1986,1991,0.475636,401
486,1992,0.618175,397
973,1993,0.663805,402
271,1987,0.753043,201
1994,1995,2.22057,799
1996,1997,2.44683,1000
