cl1,cl2,dist,new_size
356,360,0.00253885,2
143,163,0.00359347,2
431,434,0.00654083,2
321,374,0.00875562,2
246,288,0.00948992,2
89,501,0.0117041,3
449,463,0.0155183,2
134,148,0.0161871,2
5,19,0.0166755,2
235,287,0.0168257,2
28,63,0.0184362,2
307,320,0.0188301,2
188,247,0.0191534,2
50,54,0.0192002,2
310,333,0.0192493,2
65,66,0.0195285,2
399,474,0.0196426,2
108,117,0.0204089,2
210,217,0.020516,2
9,510,0.0221626,3
204,256,0.0228285,2
35,489,0.0229643,2
61,71,0.0241919,2
311,351,0.0244718,2
308,334,0.0244951,2
237,504,0.025785,3
243,292,0.0264618,2
198,297,0.0265466,2
141,174,0.0265924,2
218,268,0.026798,2
24,521,0.0268812,3
244,273,0.0272053,2
213,240,0.0272648,2
40,68,0.027334,2
81,154,0.0275215,2
33,70,0.0282739,2
34,410,0.0283416,2
6,422,0.0283825,2
98,112,0.0289563,2
223,274,0.0290566,2
446,473,0.0297162,2
251,527,0.031243,3
346,352,0.0313636,2
44,406,0.0325317,2
187,209,0.0327084,2
428,490,0.033476,2
0,11,0.0335925,2
539,296,0.033958,3
414,450,0.0340708,2
39,46,0.0343357,2
265,295,0.0347511,2
509,245,0.0354194,3
266,547,0.0354316,4
369,384,0.0359785,2
145,182,0.036028,2
126,178,0.036255,2
546,12,0.0364313,3
200,252,0.0366184,2
534,110,0.0366404,3
38,55,0.0368826,2
512,551,0.038728,5
359,364,0.0388302,2
167,169,0.038952,2
405,502,0.0396966,3
18,543,0.0397242,3
336,389,0.0397512,2
403,415,0.0402665,2
566,420,0.0410958,3
42,56,0.0424299,2
249,280,0.0428284,2
87,507,0.0428878,3
418,479,0.0428931,2
532,286,0.0435276,3
225,254,0.0435635,2
345,392,0.0437297,2
454,465,0.0437426,2
430,497,0.0447159,2
106,166,0.0454504,2
545,481,0.0457142,3
276,294,0.0459091,2
118,558,0.0459569,4
435,443,0.0459818,2
506,491,0.046043,3
23,60,0.0460702,2
257,303,0.046181,2
563,486,0.0469893,4
103,104,0.0475291,2
3,48,0.0484772,2
32,451,0.0485718,2
561,385,0.0488902,3
318,377,0.0492737,2
114,158,0.0494069,2
586,591,0.049588,4
535,416,0.049997,3
16,519,0.0504516,4
580,562,0.050822,6
343,379,0.0508244,2
505,101,0.0510905,4
84,138,0.0512365,2
518,285,0.0512468,3
408,448,0.0514224,2
207,520,0.0517939,3
402,571,0.0518249,3
7,559,0.0525094,3
332,355,0.0527371,2
368,373,0.0531404,2
445,471,0.0531754,2
594,593,0.0533786,7
544,560,0.0534259,7
189,215,0.0536006,2
211,258,0.0536791,2
537,476,0.0538234,3
417,548,0.0539955,3
567,606,0.0540311,5
597,595,0.054734,10
500,387,0.0550691,3
600,496,0.0550955,3
226,569,0.0551597,3
513,74,0.0553942,3
608,579,0.0560673,9
45,62,0.0560711,2
516,457,0.0567461,3
196,601,0.0567614,4
113,137,0.0569996,2
224,238,0.057044,2
335,395,0.0576866,2
220,283,0.0577576,2
186,205,0.0580917,2
541,550,0.0584694,5
109,168,0.0585256,2
329,378,0.0588306,2
13,533,0.0590402,3
120,170,0.0593566,2
27,47,0.0593637,2
90,127,0.0593948,2
633,59,0.0596695,3
15,67,0.0597163,2
625,605,0.0601044,4
592,598,0.06067,6
424,585,0.0608403,5
523,312,0.0610227,3
26,483,0.0613273,2
342,354,0.0613708,2
455,487,0.0617854,2
607,429,0.0622536,8
1,549,0.0623686,3
107,152,0.0626475,2
589,398,0.0626837,4
242,526,0.0629166,3
612,643,0.0629992,5
22,636,0.0633768,3
233,264,0.063451,2
570,171,0.0636498,4
197,221,0.0638783,2
638,93,0.0645043,7
421,498,0.0648729,2
99,614,0.065042,11
584,278,0.0650476,3
655,432,0.0652947,3
375,615,0.0655006,4
400,602,0.0655928,4
314,553,0.0656883,3
193,610,0.0659074,3
613,639,0.0660023,10
622,298,0.0660808,5
208,305,0.0667213,2
83,623,0.0669918,3
125,133,0.0672935,2
367,376,0.0677028,2
630,370,0.0684912,3
433,588,0.0688136,3
650,620,0.0689776,5
17,64,0.0691632,2
663,658,0.0700059,13
232,239,0.0700785,2
86,156,0.0703698,2
436,492,0.0704574,2
632,528,0.0707754,4
621,462,0.0715339,4
309,391,0.0716481,2
628,261,0.0723392,6
654,180,0.0723556,8
53,475,0.0725396,2
538,681,0.0725984,10
683,675,0.0738458,12
649,494,0.0738996,6
413,468,0.0747536,2
525,680,0.0749521,9
564,467,0.0749596,4
642,396,0.075245,3
576,673,0.0755867,15
656,121,0.0756541,12
203,619,0.0757789,10
587,36,0.0758172,3
313,669,0.0762683,4
21,37,0.0770102,2
631,80,0.0771996,4
438,477,0.0772275,2
692,267,0.0774165,11
426,678,0.0774339,5
96,160,0.0775216,2
698,300,0.0778575,12
689,361,0.0780936,4
95,555,0.0781482,3
236,260,0.078612,2
686,582,0.0789619,5
583,688,0.0791863,6
201,665,0.0797681,3
671,404,0.0802051,6
666,142,0.0802996,4
611,706,0.0803677,9
130,161,0.0805247,2
684,711,0.080538,14
51,470,0.0807407,2
635,480,0.0813428,4
691,185,0.0820509,13
702,661,0.0823847,7
194,552,0.0824285,5
115,135,0.082458,2
192,263,0.0825046,2
646,153,0.0825294,3
327,668,0.0828089,3
124,159,0.0828682,2
231,573,0.0831101,3
710,670,0.0833221,12
664,723,0.083364,8
609,557,0.0833923,4
316,394,0.0836793,2
725,275,0.0837143,9
708,696,0.0841334,10
645,729,0.0842251,13
325,339,0.0849922,2
575,676,0.0854416,4
10,20,0.0857828,2
76,78,0.0864421,2
722,129,0.0864896,3
624,241,0.0865938,3
652,157,0.0866176,5
195,277,0.0866775,2
736,687,0.0871002,12
644,30,0.0872793,9
672,730,0.0874202,15
578,616,0.0875393,6
259,301,0.0877628,2
79,724,0.0880215,13
464,660,0.0880336,5
703,132,0.0881487,4
709,715,0.0888021,17
202,599,0.0888628,4
714,540,0.0890357,6
744,440,0.0892433,14
750,685,0.089266,20
667,144,0.0905297,3
717,739,0.090904,17
322,637,0.0916529,5
234,293,0.0918265,2
530,488,0.0919459,4
753,212,0.0923149,18
634,165,0.09236,3
353,357,0.0924813,2
250,617,0.0926714,4
626,651,0.0929629,4
409,745,0.0930611,6
701,757,0.0932788,30
761,763,0.0936346,34
219,743,0.0938833,3
695,522,0.0942885,4
382,390,0.0942966,2
508,741,0.0946015,17
747,712,0.0948184,31
146,735,0.0961931,4
746,677,0.0962563,8
330,397,0.0963063,2
407,453,0.0964858,2
603,749,0.0966135,9
657,764,0.096699,37
331,371,0.0967259,2
752,181,0.0967779,4
8,515,0.0968395,3
344,347,0.0968556,2
269,304,0.0970641,2
423,690,0.0971497,16
769,771,0.0981263,39
762,781,0.0981683,22
529,272,0.0981947,3
775,728,0.098416,46
647,721,0.0988649,7
720,782,0.0999709,42
460,774,0.100632,10
493,499,0.102065,2
411,788,0.102081,11
147,176,0.102574,2
768,568,0.102794,19
755,707,0.102976,5
733,41,0.104067,3
456,482,0.104177,2
792,43,0.104451,20
524,326,0.104565,3
759,716,0.104614,9
439,459,0.104839,2
105,149,0.105084,2
719,253,0.105601,3
737,102,0.105631,6
679,341,0.105659,3
349,776,0.105763,3
556,740,0.106277,12
52,72,0.106439,2
767,786,0.10665,9
790,796,0.107283,31
794,682,0.10761,5
25,806,0.107865,3
122,791,0.107992,3
514,798,0.109743,11
797,754,0.110734,8
653,279,0.111638,3
674,801,0.111767,5
641,789,0.112836,4
366,574,0.113041,3
751,816,0.113098,24
151,777,0.11352,5
503,388,0.114011,3
813,604,0.114252,10
705,783,0.114439,27
315,804,0.114444,4
822,444,0.114772,28
517,787,0.115019,44
817,812,0.116211,14
809,77,0.116474,6
419,484,0.11686,2
758,819,0.117514,8
732,824,0.118072,32
805,75,0.118917,13
808,818,0.119966,55
554,183,0.120011,3
832,831,0.12056,68
348,386,0.120659,2
825,700,0.121696,46
699,830,0.122048,37
814,793,0.12247,8
596,362,0.122671,3
836,829,0.122948,54
694,807,0.123058,13
542,640,0.123166,5
760,785,0.123771,50
726,704,0.123995,6
834,466,0.12419,69
85,840,0.124389,55
693,69,0.124542,4
838,843,0.124649,58
765,228,0.125569,4
770,800,0.125868,6
128,131,0.126304,2
810,618,0.126857,6
848,780,0.126976,60
779,590,0.127621,4
577,155,0.128663,3
270,281,0.128742,2
662,255,0.128939,4
565,841,0.128947,15
853,572,0.129,63
190,230,0.129529,2
857,844,0.129566,10
756,485,0.129597,5
738,199,0.129707,3
581,697,0.13007,4
837,437,0.130237,38
82,323,0.130583,2
846,851,0.131503,57
821,826,0.131549,24
827,734,0.132261,8
