cl1,cl2,dist,new_size
72,74,0.403113,2
229,236,0.412311,2
61,67,0.412311,2
228,230,0.4272,2
81,82,0.4272,2
159,160,0.4272,2
186,187,0.430116,2
85,86,0.430116,2
37,44,0.447214,2
218,220,0.452769,2
113,117,0.460977,2
215,216,0.460977,2
65,66,0.460977,2
231,232,0.460977,2
45,49,0.460977,2
133,138,0.471699,2
103,104,0.474342,2
41,42,0.474342,2
83,84,0.492443,2
234,235,0.492443,2
206,208,0.5,2
87,88,0.5,2
28,29,0.5,2
58,59,0.5,2
147,148,0.502494,2
30,34,0.502494,2
75,77,0.502494,2
69,71,0.502494,2
184,222,0.502494,2
142,143,0.502494,2
141,146,0.509902,2
177,178,0.514782,2
89,261,0.514782,3
180,181,0.522015,2
134,137,0.522015,2
76,78,0.522015,2
217,219,0.522015,2
118,119,0.531507,2
233,239,0.540833,2
27,31,0.540833,2
100,101,0.540833,2
14,15,0.55,2
63,64,0.552268,2
221,227,0.552268,2
164,166,0.552268,2
68,252,0.55546,3
55,56,0.559017,2
128,130,0.559017,2
25,26,0.559017,2
144,145,0.559017,2
213,214,0.559017,2
223,224,0.570088,2
121,122,0.570088,2
8,9,0.570088,2
95,98,0.570088,2
90,244,0.577174,3
108,280,0.581585,3
16,17,0.583095,2
2,3,0.585235,2
106,107,0.585235,2
123,127,0.585235,2
60,242,0.585486,3
237,241,0.593533,3
167,284,0.593624,3
209,212,0.60208,2
203,210,0.60208,2
12,19,0.60208,2
109,112,0.60208,2
110,114,0.60208,2
135,136,0.60208,2
199,238,0.60208,2
23,24,0.604152,2
165,179,0.608276,2
32,33,0.610328,2
190,207,0.610328,2
171,172,0.610328,2
120,277,0.611309,3
129,287,0.611666,3
48,62,0.618466,2
13,281,0.618578,3
7,298,0.621196,3
156,245,0.621652,3
185,246,0.629864,3
202,211,0.632456,2
70,267,0.635193,3
161,162,0.636396,2
38,43,0.640312,2
183,194,0.65,2
126,131,0.65,2
189,271,0.65116,3
102,247,0.653698,3
36,46,0.657647,2
251,276,0.661215,4
132,255,0.661935,3
22,311,0.665037,3
80,91,0.667083,2
50,51,0.667083,2
124,300,0.669169,3
96,97,0.67082,2
4,6,0.67082,2
243,283,0.676937,4
18,21,0.680074,2
149,150,0.680074,2
259,290,0.701807,4
52,53,0.707107,2
139,140,0.707107,2
197,198,0.707107,2
175,191,0.715891,2
173,176,0.715891,2
195,196,0.715891,2
10,11,0.715891,2
188,193,0.715891,2
258,285,0.739459,5
168,170,0.743303,2
35,265,0.750487,3
153,163,0.751665,2
262,288,0.75182,4
111,308,0.75323,3
226,291,0.769456,3
116,250,0.770285,3
105,256,0.772233,3
47,152,0.782624,2
57,263,0.787755,3
257,326,0.791709,4
266,275,0.797435,4
254,318,0.800542,4
278,310,0.80117,4
157,158,0.806226,2
297,341,0.808302,4
225,253,0.81041,3
240,324,0.81096,5
99,294,0.813965,3
269,270,0.816392,4
293,350,0.817486,4
273,322,0.821765,5
182,268,0.826635,3
260,314,0.831207,4
92,93,0.832166,2
79,335,0.840408,3
249,351,0.847719,4
154,155,0.85,2
274,333,0.850644,5
151,342,0.864095,3
307,316,0.880639,5
54,286,0.888632,3
169,327,0.896968,3
73,370,0.916153,6
204,205,0.919239,2
312,315,0.919242,4
5,339,0.921677,3
248,331,0.932201,4
292,317,0.932934,5
200,201,0.934077,2
302,332,0.936076,7
305,323,0.956819,4
329,348,0.957812,5
272,295,0.960204,6
125,337,0.966887,4
264,289,0.980365,4
282,352,0.982543,7
94,377,0.985977,3
330,360,0.99729,6
325,380,0.998855,4
357,359,1.00911,6
301,336,1.01254,5
328,397,1.03009,6
39,313,1.04259,3
299,338,1.09027,4
374,375,1.09481,8
340,369,1.09741,7
319,368,1.10192,7
192,347,1.11943,3
334,354,1.12731,6
40,344,1.12948,3
279,406,1.13102,5
296,371,1.14072,6
343,393,1.15514,11
303,353,1.15828,5
115,403,1.18827,7
362,386,1.1955,9
365,404,1.2057,9
20,356,1.21241,5
304,394,1.21385,6
320,389,1.23393,6
372,398,1.23516,8
0,1,1.25399,2
345,381,1.26374,7
306,373,1.28069,6
388,395,1.30024,9
321,402,1.31224,7
349,358,1.34905,5
361,382,1.35982,5
363,413,1.3702,7
378,400,1.37326,6
391,405,1.38122,11
376,411,1.39931,7
407,415,1.40715,10
414,421,1.4765,10
366,392,1.4912,6
396,399,1.503,13
387,422,1.52304,8
346,430,1.52316,7
174,367,1.54454,3
379,408,1.57673,12
309,426,1.58094,9
390,420,1.59589,13
410,427,1.60986,13
383,418,1.62442,12
409,416,1.64824,18
424,444,1.65889,17
364,419,1.74589,13
401,439,1.77595,19
384,450,1.77767,16
355,412,1.79168,8
428,429,1.82939,16
423,446,1.88132,19
417,443,1.9409,17
385,441,1.97997,10
438,448,1.98274,24
434,447,2.04845,23
432,445,2.0708,20
442,454,2.19057,19
437,453,2.19358,18
435,440,2.21751,15
436,451,2.36134,29
433,464,2.49168,35
456,461,2.64107,36
452,460,2.73831,36
458,463,2.8554,39
455,462,3.2536,37
431,465,3.27492,40
449,459,3.33551,40
467,470,3.57176,76
466,468,3.6937,75
425,457,3.71252,12
473,474,4.35978,87
469,472,6.18323,113
471,475,6.71425,127
476,477,7.37853,240
