cl1,cl2,dist,new_size
133,134,0,2
117,118,0.05,2
131,132,0.0707107,2
155,156,0.0707107,2
2,3,0.0707107,2
262,263,0.1,2
249,250,0.158114,2
224,225,0.180278,2
229,230,0.206155,2
145,146,0.206155,2
195,196,0.206155,2
288,289,0.212132,2
236,237,0.223607,2
186,187,0.25,2
219,220,0.25,2
126,127,0.254951,2
147,148,0.254951,2
246,247,0.269258,2
26,27,0.269258,2
233,234,0.291548,2
153,154,0.291548,2
166,167,0.3,2
239,240,0.316228,2
283,285,0.316228,2
261,305,0.321699,3
149,150,0.33541,2
181,182,0.35,2
200,201,0.35,2
95,96,0.35,2
259,260,0.35,2
213,214,0.35,2
135,136,0.35,2
151,152,0.353553,2
253,255,0.353553,2
273,274,0.353553,2
284,323,0.370256,3
221,314,0.378722,3
163,164,0.380789,2
21,22,0.380789,2
286,287,0.390512,2
209,210,0.4,2
44,45,0.4,2
183,326,0.407265,3
267,268,0.412311,2
99,100,0.412311,2
24,25,0.412311,2
116,301,0.416615,3
176,177,0.4272,2
137,331,0.442005,3
211,212,0.447214,2
251,257,0.447214,2
244,245,0.45,2
223,307,0.450694,3
192,193,0.452769,2
280,281,0.452769,2
72,73,0.460977,2
0,1,0.460977,2
215,216,0.460977,2
52,53,0.471699,2
62,63,0.474342,2
241,322,0.481065,3
138,139,0.494975,2
297,298,0.5,2
271,272,0.502494,2
9,10,0.502494,2
256,333,0.506238,3
56,57,0.514782,2
157,158,0.522015,2
194,310,0.528307,3
290,311,0.534233,3
4,5,0.538516,2
101,102,0.540833,2
217,218,0.559017,2
6,7,0.559017,2
172,173,0.559017,2
248,252,0.559017,2
58,59,0.559017,2
279,354,0.579938,3
232,235,0.585235,2
168,321,0.587612,3
264,324,0.590493,4
258,329,0.596405,3
68,69,0.6,2
184,342,0.601278,4
128,129,0.60208,2
226,227,0.60208,2
14,15,0.610328,2
303,320,0.611148,4
143,144,0.618466,2
254,365,0.643051,4
119,120,0.65,2
12,13,0.65,2
46,47,0.65,2
121,122,0.65,2
185,313,0.651449,3
291,369,0.651635,4
38,39,0.65192,2
357,372,0.655403,4
140,361,0.658675,3
222,336,0.666756,4
81,82,0.67082,2
238,312,0.674226,3
75,76,0.680074,2
93,94,0.680074,2
30,31,0.680074,2
32,33,0.680074,2
188,394,0.685412,4
36,37,0.694622,2
64,65,0.696419,2
130,384,0.697836,3
269,343,0.698203,3
85,86,0.707107,2
70,71,0.715891,2
83,84,0.72111,2
16,17,0.728011,2
159,160,0.728011,2
97,98,0.743303,2
300,302,0.75929,4
317,375,0.765511,4
174,374,0.766922,3
110,346,0.769051,4
228,360,0.773508,4
275,334,0.775657,3
169,170,0.776209,2
19,20,0.790569,2
330,349,0.796944,4
40,41,0.8,2
66,67,0.8,2
335,339,0.80262,5
175,179,0.806226,2
165,337,0.806523,3
42,43,0.807775,2
265,380,0.80865,5
197,198,0.820061,2
123,124,0.820061,2
18,414,0.820112,3
112,114,0.824621,2
243,292,0.827647,2
208,340,0.829013,3
141,316,0.830098,3
60,61,0.85,2
189,190,0.8544,2
367,387,0.854741,6
87,88,0.863134,2
378,401,0.86794,5
125,315,0.871961,3
231,308,0.872909,3
180,429,0.873288,3
325,332,0.882769,4
299,362,0.889026,3
34,35,0.901388,2
89,90,0.905539,2
352,385,0.909875,5
49,50,0.912414,2
350,381,0.915803,5
28,29,0.919239,2
206,207,0.921954,2
92,403,0.927624,3
103,400,0.93541,3
161,415,0.940304,3
199,327,0.969047,3
306,418,0.992753,6
282,428,1.00149,6
276,277,1.00499,2
74,402,1.01211,3
295,296,1.01242,2
178,347,1.03731,3
383,406,1.03807,8
397,399,1.09385,8
242,437,1.09974,3
353,368,1.10741,5
142,439,1.10944,4
48,453,1.11794,3
344,371,1.11902,4
409,445,1.13603,6
293,395,1.13985,5
