cl1,cl2,dist,new_size
121,144,0.002,2
592,596,0.00282843,2
528,539,0.00447214,2
525,549,0.0107703,2
160,171,0.0134164,2
431,433,0.0141421,2
101,110,0.0141421,2
105,114,0.0161245,2
8,17,0.0178885,2
451,478,0.0178885,2
22,37,0.0181108,2
303,304,0.0189737,2
330,333,0.0189737,2
217,218,0.0196977,2
482,493,0.019799,2
201,236,0.02,2
351,358,0.0208806,2
567,570,0.0208806,2
74,77,0.0220907,2
203,223,0.0220907,2
400,409,0.0226274,2
182,198,0.0240832,2
96,118,0.0241661,2
483,486,0.0241661,2
90,115,0.0247386,2
244,279,0.0252982,2
445,476,0.0252982,2
170,177,0.0256125,2
91,607,0.0266041,3
521,556,0.0277849,2
534,552,0.0277849,2
219,619,0.0290294,3
138,151,0.0295296,2
513,519,0.0297321,2
124,129,0.03,2
487,512,0.03,2
363,385,0.032311,2
535,543,0.0329848,2
339,354,0.0384187,2
331,349,0.0393954,2
540,558,0.0394462,2
530,545,0.0396989,2
481,491,0.04,2
520,523,0.04005,2
175,627,0.0404969,3
417,424,0.0404969,2
450,609,0.040958,3
42,55,0.0411825,2
277,625,0.0418742,3
503,514,0.0428019,2
166,189,0.0429418,2
418,439,0.0436807,2
6,14,0.0440454,2
614,633,0.0443838,4
441,477,0.0444072,2
164,178,0.0447214,2
247,259,0.0447214,2
40,41,0.0449444,2
311,319,0.0453431,2
496,517,0.0456508,2
408,620,0.0459989,3
57,75,0.0463897,2
242,265,0.0468615,2
322,639,0.0469314,3
258,270,0.0480833,2
588,593,0.0480833,2
541,555,0.0481664,2
297,306,0.0481664,2
404,428,0.0483322,2
360,380,0.0483735,2
246,269,0.0483735,2
563,585,0.0494773,2
54,69,0.0501597,2
326,353,0.0504777,2
211,233,0.0505964,2
81,99,0.050636,2
85,86,0.0521536,2
565,577,0.0524976,2
89,95,0.0529528,2
80,116,0.0533667,2
320,334,0.0538516,2
387,398,0.0538516,2
45,618,0.0544686,3
323,346,0.0549181,2
335,345,0.0555698,2
228,615,0.0556487,3
548,637,0.056184,3
31,32,0.0563205,2
340,352,0.0564624,2
453,456,0.0565685,2
92,93,0.0566392,2
581,595,0.0568507,2
402,429,0.0577235,2
336,663,0.057747,4
464,466,0.0585491,2
368,369,0.059397,2
172,190,0.0604649,2
132,149,0.060531,2
498,518,0.0608276,2
179,180,0.0608276,2
202,226,0.0608276,2
537,666,0.0609828,3
546,629,0.0623343,3
446,465,0.063561,2
267,275,0.0644981,2
386,391,0.0647765,2
165,186,0.0648999,2
117,628,0.0650353,4
406,422,0.0650538,2
324,350,0.0656049,2
88,606,0.065889,3
495,659,0.0659792,3
139,155,0.066,2
583,590,0.0660303,2
4,25,0.0668431,2
97,108,0.0672309,2
542,630,0.0672475,3
125,632,0.0674358,3
506,511,0.0681175,2
507,649,0.068547,3
283,291,0.0689638,2
163,644,0.0695462,4
372,375,0.0697711,2
454,468,0.069857,2
249,656,0.0698675,3
301,611,0.0700288,3
452,463,0.0702567,2
381,399,0.0707672,2
222,631,0.0708122,4
367,394,0.0715542,2
251,648,0.0720808,4
3,21,0.072111,2
173,604,0.0722028,3
255,272,0.0722496,2
308,658,0.0724355,3
411,414,0.0726911,2
364,370,0.0728011,2
274,670,0.0735751,3
19,27,0.0737564,2
612,684,0.0740682,4
571,575,0.0744043,2
240,260,0.0746726,2
78,79,0.0758947,2
359,616,0.0761054,3
362,378,0.0761577,2
379,397,0.0762365,2
212,231,0.0771751,2
214,225,0.0777946,2
437,645,0.0780719,3
181,185,0.0781025,2
56,647,0.0784272,3
407,605,0.0785996,3
296,298,0.0787147,2
388,636,0.0788115,3
120,150,0.0793221,2
440,462,0.0796241,2
356,680,0.0801312,3
213,674,0.080791,3
559,686,0.0808108,4
153,634,0.0816844,3
430,692,0.0819345,3
221,245,0.0840238,2
2,38,0.0840238,2
449,723,0.0841109,3
527,701,0.0841374,4
29,1,0.0850412,2
237,239,0.0858836,2
687,738,0.0870915,4
135,147,0.0872009,2
