cl1,cl2,dist,new_size
692,4782,0.000143837,2
4631,4674,0.000410371,2
1312,1486,0.000565489,2
4615,4877,0.00120337,2
642,976,0.00147679,2
4721,4810,0.00147683,2
1516,3188,0.00170858,2
1628,1738,0.00172721,2
804,4544,0.00174379,2
1056,1065,0.00181795,2
739,4705,0.00183798,2
1749,1904,0.00185403,2
3527,3980,0.00186159,2
2053,2285,0.00190059,2
567,815,0.00198451,2
4509,4748,0.00200418,2
959,4516,0.00212871,2
697,963,0.00214479,2
1860,2024,0.00220448,2
1085,1404,0.00221182,2
1200,1414,0.00225087,2
1574,1971,0.00228377,2
1540,1768,0.00244655,2
616,662,0.00245401,2
4502,4555,0.00258576,2
622,955,0.00259904,2
3358,3497,0.00278416,2
1677,1996,0.00282108,2
3406,3410,0.00282454,2
3172,3365,0.00285348,2
528,969,0.00287035,2
286,469,0.00293412,2
4845,4891,0.00301228,2
42,317,0.00302091,2
3720,3737,0.0032032,2
758,4495,0.00322034,2
917,4733,0.0032365,2
4101,4404,0.003242,2
3893,3959,0.00328588,2
3691,3996,0.00344899,2
1141,1433,0.00345658,2
501,557,0.00348793,2
1243,1326,0.00351776,2
4542,4685,0.0035923,2
525,900,0.00364433,2
124,465,0.00390159,2
1078,1492,0.00397306,2
1828,1999,0.0040516,2
4134,4364,0.00407828,2
1307,1466,0.00408556,2
1042,1156,0.00408575,2
763,1021,0.00417657,2
2169,2382,0.00449809,2
4708,4757,0.0046136,2
548,844,0.00462953,2
671,1012,0.00470541,2
1848,1875,0.00477098,2
2092,2481,0.00485483,2
1650,2032,0.00486212,2
2208,2421,0.00496118,2
187,216,0.00498934,2
1568,1604,0.00508643,2
4142,4349,0.0051372,2
1597,1626,0.00516752,2
2584,2890,0.0052182,2
4269,4373,0.00521886,2
4099,4490,0.00524433,2
2519,2600,0.00530755,2
4113,4449,0.00530793,2
1287,1415,0.00533837,2
4654,4720,0.00538144,2
3088,3207,0.00544519,2
3703,3815,0.00546392,2
1806,2008,0.00551518,2
1257,1355,0.00552712,2
1018,4795,0.00552989,2
1701,2021,0.00566623,2
4980,4988,0.00573427,2
4118,4446,0.00578757,2
3471,5026,0.00583706,3
122,212,0.0058441,2
940,4675,0.00585211,2
4068,4105,0.0058554,2
4071,4386,0.00592278,2
1968,1970,0.00592305,2
574,931,0.00594276,2
3402,3458,0.0059905,2
942,4689,0.00599331,2
3834,3878,0.00600515,2
2683,2804,0.0061989,2
2523,2724,0.00620505,2
4700,4932,0.00623138,2
1596,3363,0.006263,2
1068,1503,0.00628317,2
927,5016,0.00631803,3
2042,2376,0.00637136,2
3374,3485,0.006429,2
406,464,0.00645879,2
2308,2412,0.00650197,2
429,470,0.00650831,2
2102,2220,0.00651556,2
3819,3907,0.00652126,2
726,861,0.00655373,2
751,5017,0.00656315,3
3881,3998,0.00657284,2
4873,4947,0.00657988,2
1305,1416,0.00658571,2
4738,4912,0.00663301,2
1328,1423,0.00668776,2
3459,3481,0.00670308,2
2328,5095,0.00680669,3
2137,2386,0.00682945,2
3258,3511,0.00683801,2
647,1846,0.00686826,2
1064,1188,0.006891,2
1583,1602,0.00695137,2
2259,2485,0.00700666,2
128,452,0.00700799,2
509,816,0.00703729,2
2059,2143,0.00704374,2
4339,4360,0.00713772,2
2526,2681,0.00714645,2
820,4600,0.0071651,2
2710,2936,0.007167,2
4653,4693,0.00722141,2
661,1572,0.00726835,2
65,199,0.00727481,2
1230,1398,0.00731418,2
1088,1392,0.00732555,2
2229,2461,0.00744386,2
2616,2728,0.00745032,2
3161,3476,0.00746665,2
3751,3926,0.00746741,2
2525,2699,0.0075732,2
32,329,0.00758584,2
3100,3370,0.00764685,2
3754,3969,0.00766719,2
4102,4398,0.00766833,2
2333,2422,0.00766937,2
4532,4616,0.00768441,2
878,5055,0.0077168,3
4818,4875,0.00776601,2
3452,3490,0.00779736,2
743,770,0.00780381,2
3544,3548,0.00792115,2
586,776,0.00803626,2
2073,2117,0.00806107,2
4061,4442,0.00810019,2
1637,2020,0.00815218,2
3075,3182,0.008177,2
1800,3454,0.00819568,2
626,4659,0.00821091,2
5008,5145,0.00829682,4
1750,1990,0.00831601,2
2589,2981,0.00831941,2
4629,4941,0.00832325,2
2058,2189,0.00833125,2
3303,3489,0.00835389,2
4149,4375,0.00836264,2
3384,3421,0.00839004,2
1765,1969,0.00840444,2
4545,4635,0.00840801,2
1562,1929,0.0084488,2
192,311,0.00848443,2
689,712,0.00851249,2
4195,4468,0.00854914,2
2101,2157,0.00856073,2
2548,2929,0.00856189,2
704,5094,0.0085739,4
1004,4670,0.00858439,2
3619,3699,0.00862912,2
4536,5010,0.00864683,3
205,477,0.00870602,2
4214,4278,0.00877333,2
523,4926,0.00881026,2
1674,3440,0.008835,2
3877,3897,0.00891039,2
516,817,0.00893445,2
2787,2887,0.00893603,2
4831,4888,0.00905333,2
1755,2026,0.00907069,2
2270,2478,0.00909482,2
4610,4878,0.00914219,2
1789,5084,0.00921163,3
2629,2781,0.0092254,2
625,887,0.00923191,2
2614,2729,0.00929379,2
1752,1855,0.00931034,2
4817,4992,0.00931231,2
3550,3882,0.00931297,2
765,799,0.00933657,2
2587,2945,0.00939875,2
781,4920,0.0094151,2
4623,4969,0.00941544,2
4196,5082,0.00948287,3
1515,1893,0.00950045,2
2218,5129,0.0095307,3
3561,3722,0.00953597,2
2744,2946,0.00956427,2
2691,2966,0.00956977,2
1652,3266,0.00957825,2
3611,3894,0.00958391,2
652,1590,0.00959654,2
938,1872,0.00960704,2
1625,1881,0.00961026,2
3076,3443,0.00964694,2
4230,5165,0.00967432,3
3529,3626,0.00968245,2
176,246,0.00970409,2
2070,2437,0.0097376,2
3103,3418,0.00976068,2
1551,5204,0.00978679,3
3741,3747,0.00979024,2
483,996,0.00979346,2
4814,4961,0.00979756,2
1067,1260,0.00982842,2
4762,4934,0.00982964,2
1730,1798,0.00984215,2
1615,1702,0.00988121,2
1552,1909,0.00990954,2
3753,3899,0.00995257,2
3936,3984,0.00999247,2
4563,4698,0.0100205,2
981,4794,0.0100207,2
1080,1292,0.0100233,2
2158,2338,0.0100274,2
3390,3423,0.0100475,2
1805,1897,0.0100645,2
1601,1844,0.0100766,2
3858,5039,0.0101682,3
855,4628,0.010201,2
1661,1708,0.010225,2
1182,1248,0.0102308,2
4774,4911,0.0102323,2
84,5163,0.0102503,3
5061,5195,0.0102546,4
1135,1443,0.0103206,2
3570,3791,0.0103411,2
3016,3205,0.0104039,2
4760,5024,0.0104041,3
784,4500,0.0104149,2
2894,2968,0.0104294,2
3546,3552,0.0104398,2
786,5075,0.0104541,3
4083,4232,0.0104782,2
4694,4701,0.0104969,2
1647,1663,0.0105035,2
