cl1,cl2,dist,new_size
1831,1894,0.0023,2
232,279,0.00325269,2
3026,3051,0.00325269,2
1162,1181,0.00325269,2
72,78,0.0046,2
839,877,0.00514296,2
1011,1070,0.00727324,2
2125,2155,0.00975807,2
1736,1737,0.0102859,2
2817,2839,0.0138,2
547,588,0.0139904,2
1962,1986,0.0139904,2
3020,3096,0.0139904,2
2402,2421,0.0145465,2
2956,2977,0.0145465,2
326,382,0.0147272,2
2701,2761,0.0147272,2
411,437,0.0147272,2
1567,1595,0.0154289,2
2472,2476,0.0154289,2
2960,2995,0.0162635,2
2302,2387,0.0167443,2
1630,1686,0.0179636,2
1820,3100,0.0184,3
2715,2727,0.0185432,2
3063,3092,0.0196512,2
592,594,0.0216982,2
318,366,0.023,2
1036,1063,0.023,2
355,398,0.0231147,2
1414,1469,0.0231147,2
2740,2799,0.0236799,2
664,676,0.0240127,2
512,3110,0.0247718,3
1206,1284,0.0247718,2
117,138,0.0248783,2
2078,2095,0.0253,2
379,2289,0.0253,2
569,574,0.0254043,2
724,788,0.0254043,2
172,177,0.0257148,2
2401,2497,0.0257148,2
246,262,0.0260215,2
1527,1537,0.0260215,2
2504,2525,0.026224,2
2745,2770,0.026224,2
1033,1047,0.0269208,2
209,215,0.0279807,2
505,590,0.0280751,2
2948,2954,0.0280751,2
1257,1265,0.0284494,2
1342,1364,0.0288189,2
1204,1297,0.0292742,2
2781,2793,0.0294544,2
1531,1562,0.0299883,2
711,733,0.0302518,2
637,648,0.0306858,2
315,328,0.0308577,2
1929,3111,0.0308577,3
870,899,0.0312834,2
800,822,0.0320353,2
1411,1452,0.032282,2
926,943,0.032282,2
541,555,0.0325269,2
1250,1251,0.0325269,2
1652,1668,0.0325269,2
30,79,0.0326891,2
871,3160,0.0334885,3
2413,2439,0.0334885,2
2045,2716,0.0339591,2
612,673,0.034192,2
378,399,0.034192,2
1155,1195,0.034192,2
1434,1448,0.034192,2
335,394,0.0345,2
2292,2299,0.0345,2
2069,2098,0.0345,2
2535,2544,0.0345,2
1327,1347,0.0345,2
1611,1654,0.0348053,2
2245,2277,0.0350326,2
1021,1048,0.0357056,2
2467,2483,0.0357056,2
1808,1859,0.0357056,2
2442,2493,0.0359271,2
1574,3154,0.0370864,3
2030,2087,0.0370864,2
2515,2537,0.0370864,2
2321,2350,0.0370864,2
811,843,0.0371576,2
2152,2176,0.0374413,2
2201,2255,0.0374413,2
1485,3173,0.0377228,3
702,704,0.0379326,2
1536,3143,0.0380718,3
2946,2992,0.038555,2
2845,2890,0.038555,2
2676,2688,0.0393024,2
2944,2966,0.0393697,2
624,628,0.0393697,2
1904,1963,0.0395707,2
223,227,0.0397042,2
924,980,0.0409503,2
1860,3183,0.0411437,3
3012,3072,0.0411437,2
189,193,0.0414,2
2902,2932,0.0414,2
1101,1147,0.0414638,2
2720,2782,0.0414638,2
1300,1311,0.0416548,2
2910,2965,0.0416548,2
2917,2925,0.0416548,2
860,861,0.0416548,2
1142,1167,0.0419711,2
2830,2894,0.0419711,2
1992,3158,0.042285,4
2973,2988,0.0424099,2
1614,1644,0.0424099,2
2110,2186,0.0424099,2
324,3137,0.0427825,3
598,3148,0.0429675,3
842,850,0.0432131,2
453,3117,0.0436394,3
64,73,0.0437,2
508,566,0.0437605,2
2510,2543,0.0439414,2
248,283,0.0439414,2
2512,2526,0.0439414,2
2654,2699,0.0442414,2
1570,1599,0.0444204,2
2580,2590,0.0451878,2
1511,1579,0.0453047,2
1589,1596,0.0453047,2
642,3199,0.0458272,3
1406,1496,0.0458272,2
139,157,0.046,2
2481,2487,0.0465715,2
1320,1375,0.046911,2
3004,3073,0.0471921,2
2725,2755,0.0474157,2
913,942,0.0474157,2
1245,3152,0.0474157,3
1423,3192,0.0474157,4
365,395,0.0478599,2
1421,1440,0.0483547,2
146,191,0.0485186,2
616,621,0.0487904,2
148,183,0.0487904,2
2681,2689,0.0487904,2
106,179,0.0492221,2
1379,1384,0.0495435,2
1507,1554,0.0502328,2
511,3224,0.0504429,3
837,3212,0.0506522,3
2459,2474,0.0506522,2
2430,2441,0.0508087,2
518,564,0.0509127,2
1602,1685,0.0510683,2
2996,3211,0.0510683,3
2516,2578,0.0514296,2
1672,1683,0.0516861,2
911,3240,0.0518904,3
2778,2788,0.0521446,2
2132,2165,0.0525488,2
2653,2666,0.05295,2
1960,1989,0.05295,2
556,3163,0.0530996,3
319,3129,0.0530996,3
905,957,0.0530996,2
1010,1084,0.0530996,2
2153,3190,0.0530996,3
2400,2417,0.0530996,2
952,983,0.0530996,2
977,2774,0.0530996,2
1718,1768,0.0533481,2
2534,3187,0.0534966,3
846,885,0.0536448,2
1800,1879,0.053694,2
2863,2872,0.053694,2
1105,1128,0.053694,2
2230,2283,0.054525,2
858,874,0.054525,2
2501,2554,0.054525,2
1556,3185,0.0546704,4
1694,3179,0.0546704,3
2100,2104,0.0546704,2
2173,2198,0.0546704,2
1043,1053,0.0552958,2
1903,1969,0.055582,2
1201,1229,0.0556296,2
