cl1,cl2,dist,new_size
185,186,0.111803,2
671,672,0.15,2
79,80,0.158114,2
433,434,0.158114,2
366,367,0.180278,2
446,447,0.2,2
763,764,0.2,2
556,557,0.2,2
611,612,0.223607,2
631,632,0.25,2
388,389,0.25,2
431,432,0.25,2
734,735,0.25,2
453,454,0.25,2
330,331,0.25,2
466,467,0.254951,2
593,594,0.269258,2
768,769,0.269258,2
298,299,0.269258,2
11,12,0.269258,2
584,585,0.269258,2
690,691,0.269258,2
548,549,0.282843,2
752,753,0.291548,2
341,342,0.291548,2
775,776,0.291548,2
307,308,0.304138,2
353,354,0.304138,2
245,246,0.316228,2
760,761,0.316228,2
357,358,0.320156,2
745,746,0.320156,2
176,177,0.320156,2
771,772,0.33541,2
713,714,0.33541,2
320,321,0.33541,2
250,255,0.33541,2
598,599,0.33541,2
333,334,0.35,2
277,286,0.35,2
767,805,0.35,3
332,802,0.353553,3
677,678,0.353553,2
317,319,0.353553,2
583,808,0.360555,3
783,786,0.360555,2
108,109,0.360555,2
318,831,0.364005,3
423,424,0.364005,2
722,723,0.380789,2
613,796,0.390512,3
74,75,0.390512,2
345,346,0.390512,2
455,456,0.390512,2
158,159,0.390512,2
249,257,0.390512,2
368,370,0.390512,2
536,538,0.390512,2
300,301,0.4,2
564,573,0.4,2
96,97,0.403113,2
37,38,0.403113,2
641,642,0.403113,2
256,824,0.403113,3
60,65,0.403113,2
42,43,0.403113,2
120,121,0.403113,2
560,561,0.412311,2
378,379,0.412311,2
801,841,0.412311,4
190,788,0.412311,3
236,237,0.412311,2
274,275,0.412311,2
343,812,0.412311,3
390,393,0.412311,2
743,744,0.412311,2
122,126,0.424264,2
123,124,0.424264,2
552,553,0.424264,2
864,865,0.424264,4
588,589,0.4272,2
460,461,0.4272,2
502,503,0.4272,2
494,495,0.4272,2
174,187,0.4272,2
380,381,0.430116,2
780,781,0.430116,2
497,871,0.430116,3
265,266,0.430116,2
39,40,0.447214,2
293,876,0.447214,3
311,312,0.447214,2
350,879,0.447214,3
375,376,0.447214,2
46,47,0.447214,2
135,136,0.45,2
193,195,0.45,2
260,261,0.45,2
621,622,0.45,2
728,729,0.45,2
398,399,0.45,2
759,817,0.45,3
562,855,0.452769,3
654,656,0.452769,2
115,116,0.452769,2
215,216,0.452769,2
586,587,0.452769,2
787,833,0.452769,3
577,578,0.452769,2
228,859,0.452769,3
251,851,0.452769,4
439,440,0.452769,2
359,360,0.460977,2
471,472,0.460977,2
516,518,0.460977,2
736,742,0.460977,2
227,897,0.460977,4
170,175,0.460977,2
198,199,0.460977,2
419,421,0.460977,2
770,773,0.460977,2
362,363,0.460977,2
364,365,0.460977,2
405,406,0.460977,2
63,64,0.460977,2
100,101,0.460977,2
91,92,0.460977,2
525,526,0.460977,2
449,450,0.460977,2
384,385,0.460977,2
25,26,0.460977,2
404,911,0.471699,3
716,717,0.471699,2
273,860,0.471699,3
340,861,0.471699,4
774,908,0.471699,3
778,923,0.471699,4
604,605,0.471699,2
415,416,0.474342,2
534,535,0.474342,2
849,877,0.474342,4
382,383,0.474342,2
706,707,0.474342,2
61,912,0.492443,3
191,858,0.492443,4
259,351,0.492443,2
444,445,0.492443,2
192,884,0.492443,3
234,239,0.492443,2
309,310,0.492443,2
305,306,0.492443,2
814,937,0.492443,4
418,422,0.492443,2
344,922,0.492443,5
294,880,0.494975,4
872,905,0.494975,4
98,848,0.494975,3
