cl1,cl2,dist,new_size
72,74,0.403113,2
229,236,0.412311,2
61,67,0.412311,2
219,241,0.4272,3
228,230,0.4272,2
81,82,0.4272,2
159,160,0.4272,2
186,187,0.430116,2
85,86,0.430116,2
37,44,0.447214,2
69,242,0.45,3
218,220,0.452769,2
113,117,0.460977,2
70,240,0.460977,3
65,66,0.460977,2
215,216,0.460977,2
231,232,0.460977,2
45,49,0.460977,2
180,247,0.460977,3
133,138,0.471699,2
84,254,0.471699,3
41,42,0.474342,2
103,104,0.474342,2
83,260,0.492443,4
234,235,0.492443,2
237,243,0.492443,4
206,208,0.5,2
87,88,0.5,2
28,29,0.5,2
58,59,0.5,2
156,246,0.5,3
147,148,0.502494,2
30,34,0.502494,2
71,250,0.502494,4
75,77,0.502494,2
184,222,0.502494,2
142,143,0.502494,2
255,265,0.502494,6
245,253,0.509902,5
269,273,0.509902,6
233,256,0.509902,3
251,258,0.509902,5
141,146,0.509902,2
102,262,0.514782,3
137,259,0.514782,3
227,244,0.514782,3
177,178,0.514782,2
89,267,0.514782,3
277,281,0.514782,11
134,284,0.522015,4
181,288,0.522015,12
76,78,0.522015,2
172,270,0.522015,4
214,290,0.522015,13
217,293,0.522015,14
263,287,0.531507,7
118,119,0.531507,2
60,279,0.538516,7
239,280,0.540833,4
213,264,0.540833,3
25,268,0.540833,3
68,295,0.540833,8
27,31,0.540833,2
100,101,0.540833,2
109,296,0.540833,3
14,15,0.55,2
294,299,0.55,17
90,278,0.552268,6
63,64,0.552268,2
164,166,0.552268,2
221,285,0.552268,4
16,305,0.559017,3
55,56,0.559017,2
128,130,0.559017,2
132,289,0.559017,5
189,286,0.559017,3
301,307,0.559017,14
26,300,0.559017,4
144,145,0.559017,2
108,303,0.559017,3
112,252,0.559017,3
129,313,0.565685,3
123,321,0.565685,4
306,310,0.565685,21
50,249,0.570088,3
223,224,0.570088,2
121,122,0.570088,2
308,316,0.570088,16
8,9,0.570088,2
297,327,0.570088,23
95,98,0.570088,2
24,272,0.583095,3
35,331,0.583095,4
97,319,0.583095,4
304,320,0.583095,6
17,311,0.583095,4
131,322,0.583095,5
167,309,0.583095,3
257,324,0.583095,5
171,315,0.585235,4
2,3,0.585235,2
13,335,0.585235,5
188,323,0.585235,22
106,107,0.585235,2
248,329,0.585235,25
33,332,0.585235,5
73,344,0.585235,26
127,336,0.585235,6
136,276,0.60208,3
203,210,0.60208,2
209,212,0.60208,2
12,19,0.60208,2
182,275,0.60208,3
185,352,0.60208,4
342,353,0.60208,26
266,354,0.60208,28
7,340,0.60208,3
110,114,0.60208,2
135,348,0.60208,4
298,355,0.60208,32
282,358,0.60208,6
199,238,0.60208,2
120,334,0.604152,7
43,261,0.604152,3
18,341,0.604152,6
23,345,0.604152,6
80,346,0.604152,27
314,347,0.604152,11
116,357,0.608276,3
11,328,0.608276,3
330,333,0.608276,6
165,337,0.608276,4
62,338,0.608276,6
111,362,0.608276,8
179,371,0.608276,5
367,368,0.608276,14
51,366,0.610328,28
32,365,0.610328,7
190,207,0.610328,2
292,339,0.610328,8
124,375,0.610328,15
372,376,0.610328,34
48,381,0.618466,35
193,378,0.618466,3
356,369,0.618466,6
359,361,0.626498,34
226,325,0.626498,3
202,211,0.632456,2
360,380,0.632456,21
161,162,0.636396,2
351,384,0.636396,8
317,377,0.640312,11
364,390,0.640312,14
283,382,0.640312,38
38,363,0.640312,4
6,392,0.65,15
183,194,0.65,2
21,395,0.65,16
22,391,0.65,12
126,388,0.65,22
383,385,0.65,37
397,398,0.65,28
36,401,0.65192,29
191,400,0.65192,38
386,403,0.65192,41
46,402,0.657647,30
326,399,0.657647,24
54,312,0.667083,3
140,271,0.667083,3
91,393,0.667083,39
274,291,0.667083,4
96,370,0.67082,7
379,404,0.67082,49
4,405,0.67082,31
225,412,0.67082,50
155,389,0.67082,3
139,406,0.67082,25
170,374,0.67082,6
99,411,0.672681,8
176,414,0.672681,51
302,413,0.672681,33
373,418,0.680074,16
394,409,0.680074,43
125,416,0.680074,26
350,419,0.680074,53
417,424,0.680074,59
149,150,0.680074,2
415,425,0.694622,62
115,423,0.701783,27
57,407,0.701783,4
10,420,0.701783,34
93,422,0.701783,44
105,431,0.707107,45
5,430,0.707107,35
52,53,0.707107,2
408,428,0.707107,30
421,432,0.707107,61
433,436,0.707107,96
197,198,0.707107,2
410,437,0.707107,100
200,427,0.710634,63
438,440,0.715891,65
175,441,0.715891,66
435,439,0.715891,130
173,442,0.715891,67
195,196,0.715891,2
434,443,0.72111,132
429,446,0.72111,136
151,426,0.743303,3
168,444,0.743303,68
318,447,0.743303,138
349,387,0.743303,4
92,450,0.751665,139
153,163,0.751665,2
39,452,0.756637,140
79,454,0.761577,141
343,455,0.764853,143
448,456,0.777817,146
20,457,0.782624,147
47,152,0.782624,2
449,451,0.782624,72
458,459,0.790569,149
157,158,0.806226,2
205,460,0.806226,73
396,463,0.813941,75
154,464,0.813941,76
94,461,0.813941,150
169,465,0.832166,77
466,467,0.838153,227
174,468,0.8544,228
445,469,0.873212,230
462,470,0.886002,232
40,471,0.886002,233
201,472,0.912414,234
192,473,0.917878,235
453,474,0.917878,237
204,475,0.919239,238
0,1,1.25399,2
476,477,2.64433,240
