cl1,cl2,dist,new_size
133,134,0,2
117,118,0.05,2
131,132,0.0707107,2
155,156,0.0707107,2
2,3,0.0707107,2
262,263,0.1,2
249,250,0.158114,2
224,225,0.180278,2
229,230,0.206155,2
145,146,0.206155,2
195,196,0.206155,2
288,289,0.212132,2
236,237,0.223607,2
186,187,0.25,2
219,220,0.25,2
126,127,0.254951,2
147,148,0.254951,2
221,314,0.254951,3
246,247,0.269258,2
26,27,0.269258,2
261,305,0.282843,3
233,234,0.291548,2
153,154,0.291548,2
166,167,0.3,2
239,240,0.316228,2
283,285,0.316228,2
149,150,0.33541,2
181,182,0.35,2
200,201,0.35,2
95,96,0.35,2
135,136,0.35,2
213,214,0.35,2
259,260,0.35,2
284,325,0.35,3
151,152,0.353553,2
183,327,0.353553,3
253,255,0.353553,2
273,274,0.353553,2
223,307,0.360555,3
256,336,0.360555,3
163,164,0.380789,2
21,22,0.380789,2
286,287,0.390512,2
209,210,0.4,2
44,45,0.4,2
241,324,0.403113,3
116,301,0.403113,3
137,330,0.412311,3
267,268,0.412311,2
99,100,0.412311,2
226,338,0.412311,4
24,25,0.412311,2
176,177,0.4272,2
194,310,0.430116,3
168,323,0.447214,3
211,212,0.447214,2
251,257,0.447214,2
244,245,0.45,2
290,311,0.45,3
303,322,0.45,4
192,193,0.452769,2
279,280,0.452769,2
281,361,0.452769,3
72,73,0.460977,2
0,1,0.460977,2
215,216,0.460977,2
52,53,0.471699,2
258,332,0.471699,3
333,342,0.474342,5
62,63,0.474342,2
254,339,0.492443,4
110,346,0.494975,4
138,139,0.494975,2
264,320,0.5,4
297,298,0.5,2
271,272,0.502494,2
9,10,0.502494,2
157,359,0.502494,5
184,313,0.502494,3
56,57,0.514782,2
158,377,0.522015,6
335,378,0.522015,6
218,317,0.531507,4
4,5,0.538516,2
217,365,0.538516,3
101,102,0.540833,2
326,334,0.55,4
185,381,0.552268,7
252,306,0.559017,3
382,384,0.559017,7
6,7,0.559017,2
172,173,0.559017,2
291,358,0.559017,4
248,388,0.559017,4
58,59,0.559017,2
356,367,0.565685,5
140,372,0.565685,3
389,395,0.570088,12
235,312,0.583095,3
370,397,0.583095,16
393,399,0.585235,20
232,398,0.585235,4
238,401,0.585235,5
275,337,0.6,3
68,69,0.6,2
128,129,0.60208,2
227,350,0.60208,5
318,400,0.60208,22
14,15,0.610328,2
143,144,0.618466,2
222,407,0.626498,23
188,387,0.626498,8
130,405,0.632456,3
174,391,0.632456,3
231,402,0.636396,6
315,412,0.640312,5
299,374,0.65,3
119,120,0.65,2
12,13,0.65,2
46,47,0.65,2
121,122,0.65,2
159,380,0.65192,7
373,410,0.65192,27
38,39,0.65192,2
386,421,0.65192,11
228,345,0.667083,4
81,82,0.67082,2
103,426,0.67082,3
300,347,0.680074,5
75,76,0.680074,2
93,94,0.680074,2
30,31,0.680074,2
331,343,0.680074,4
355,432,0.680074,6
357,422,0.680074,29
32,33,0.680074,2
36,37,0.694622,2
269,348,0.694622,3
64,65,0.696419,2
265,434,0.696419,30
282,368,0.7,6
411,424,0.707107,19
35,436,0.707107,3
439,440,0.707107,36
85,86,0.707107,2
70,71,0.715891,2
396,441,0.715891,22
406,443,0.715891,41
321,414,0.715891,8
83,84,0.72111,2
16,17,0.728011,2
302,428,0.728011,7
160,446,0.728011,23
161,452,0.738241,24
141,316,0.738241,3
97,98,0.743303,2
18,450,0.75,3
293,392,0.751665,5
340,453,0.756637,26
243,448,0.756637,9
208,433,0.756637,7
125,415,0.761577,6
165,458,0.761577,27
242,459,0.761577,10
67,404,0.763217,3
190,360,0.763217,3
169,170,0.776209,2
447,457,0.781025,46
292,467,0.781025,47
425,468,0.782624,51
19,20,0.790569,2
308,463,0.790569,12
189,462,0.790569,28
175,413,0.8,4
40,41,0.8,2
66,464,0.8,4
371,451,0.801561,11
