cl1,cl2,dist,new_size
4488,6010,0.0129924,2
2901,3512,0.0190692,2
889,1404,0.0512145,2
151,423,0.0545812,2
491,961,0.0577169,2
5742,6711,0.0746659,2
2388,5888,0.0766959,2
1137,7932,0.0777874,2
3387,5574,0.0784117,2
3980,4763,0.094324,2
1277,7033,0.0955947,2
1166,1559,0.115342,2
4456,7401,0.11541,2
4594,4907,0.116379,2
1242,7109,0.120425,2
1382,6509,0.128004,2
920,5877,0.128162,2
601,809,0.131067,2
4311,8013,0.132935,3
1008,5130,0.138004,2
3856,4935,0.14612,2
320,5448,0.146409,2
3782,6786,0.148708,2
1082,4114,0.154738,2
6534,7636,0.16228,2
4276,5417,0.164741,2
4415,4534,0.166901,2
6667,6921,0.167586,2
5039,5553,0.169307,2
8,6276,0.169762,2
7173,7536,0.171669,2
3781,7474,0.173837,2
79,4747,0.176139,2
3475,7744,0.178217,2
2484,6576,0.181106,2
5549,6168,0.181817,2
6176,6351,0.183623,2
4740,5331,0.189761,2
3207,3700,0.189996,2
1512,7564,0.192208,2
802,4174,0.195385,2
3429,6399,0.197048,2
4308,5188,0.197117,2
2156,7122,0.201532,2
1405,2754,0.202994,2
4717,6174,0.206346,2
3774,7167,0.21147,2
2301,7625,0.211983,2
1046,2236,0.214261,2
81,4290,0.216208,2
545,1298,0.219822,2
3663,7707,0.226439,2
906,1846,0.226505,2
659,2164,0.22912,2
5260,6827,0.231317,2
3193,4943,0.23658,2
7,82,0.236681,2
5529,6760,0.237739,2
2482,7349,0.239279,2
1378,5851,0.23994,2
1994,4381,0.241238,2
702,7688,0.245489,2
5044,6504,0.249942,2
2790,4230,0.250661,2
3214,7463,0.257657,2
2111,5093,0.260318,2
1321,4157,0.260488,2
1906,7644,0.263656,2
5014,7446,0.265819,2
5619,7747,0.267226,2
2376,3298,0.267866,2
1376,4557,0.271455,2
180,5365,0.275403,2
1098,3187,0.280495,2
3882,7392,0.281969,2
4480,7004,0.283541,2
2132,2650,0.285964,2
3196,5011,0.286708,2
1847,2324,0.286975,2
1569,3592,0.288207,2
3179,5600,0.288746,2
1359,4210,0.294113,2
6691,7422,0.295647,2
1247,5563,0.296817,2
1613,5469,0.297008,2
111,6298,0.300653,2
537,5387,0.302003,2
413,7637,0.30233,2
3966,4451,0.303612,2
2712,3952,0.304051,2
321,676,0.305414,2
5288,5986,0.307185,2
445,3938,0.307248,2
1228,4755,0.307509,2
3365,7190,0.307772,2
1095,1865,0.309612,2
6203,7865,0.310647,2
4738,6403,0.311641,2
3917,6511,0.312749,2
5362,8043,0.312795,3
1839,2504,0.313392,2
638,2170,0.31461,2
299,5907,0.325372,2
1855,3847,0.327882,2
954,3115,0.330406,2
133,5398,0.330788,2
1915,6621,0.331184,2
3496,5838,0.331588,2
575,4691,0.334446,2
1634,3208,0.33534,2
1550,6968,0.336877,2
5048,5736,0.341107,2
1037,7174,0.343298,2
215,5918,0.343919,2
2078,3634,0.344667,2
3121,7439,0.347767,2
235,5703,0.348739,2
4929,6398,0.349375,2
1651,1721,0.350636,2
7214,7283,0.350891,2
7068,7320,0.353762,2
5982,6038,0.3548,2
6454,7102,0.355312,2
5077,5582,0.355929,2
3465,4625,0.356001,2
1716,4664,0.356504,2
3111,3951,0.357311,2
476,2960,0.358264,2
2423,2705,0.358712,2
4979,6030,0.358721,2
2820,7910,0.359424,2
7367,7698,0.360416,2
4721,7909,0.3609,2
4953,5472,0.361472,2
952,3800,0.363234,2
5550,6637,0.363944,2
6375,7807,0.368108,2
5824,7078,0.368792,2
3936,5089,0.372014,2
128,4681,0.372203,2
1894,2869,0.372902,2
4461,7559,0.376074,2
2112,5436,0.376821,2
2908,6234,0.376995,2
4008,4624,0.380091,2
452,2049,0.382041,2
646,7977,0.382079,2
4130,5124,0.383343,2
585,3979,0.384446,2
1276,6908,0.386936,2
1990,5170,0.3886,2
379,2246,0.388973,2
3661,6074,0.389351,2
5002,6696,0.391038,2
140,323,0.391653,2
1636,5491,0.394412,2
2297,6605,0.395939,2
2341,6055,0.396213,2
4133,4144,0.396767,2
1966,2989,0.396875,2
761,2833,0.397993,2
1642,7334,0.398747,2
3795,5562,0.400171,2
2855,5167,0.401909,2
3029,6662,0.402236,2
1054,6289,0.402663,2
1109,6917,0.403268,2
656,4213,0.40407,2
4186,4556,0.40455,2
4202,7353,0.405291,2
3410,7631,0.407543,2
3843,5835,0.407777,2
406,5773,0.409823,2
1597,7815,0.412385,2
4622,6303,0.413168,2
2979,5349,0.413435,2
1761,3355,0.414288,2
2477,5778,0.414658,2
3030,6415,0.416586,2
505,1477,0.41679,2
1527,2129,0.41865,2
796,4458,0.421059,2
1793,7399,0.421238,2
2968,6079,0.421275,2
1895,7541,0.423711,2
