cl1,cl2,dist,new_size
121,144,0.002,2
592,596,0.00282843,2
528,539,0.00447214,2
525,549,0.0107703,2
160,171,0.0134164,2
431,433,0.0141421,2
101,110,0.0141421,2
105,114,0.0161245,2
8,17,0.0178885,2
451,478,0.0178885,2
22,37,0.0181108,2
91,607,0.0189737,3
303,304,0.0189737,2
330,333,0.0189737,2
217,218,0.0196977,2
482,493,0.019799,2
201,236,0.02,2
351,358,0.0208806,2
567,570,0.0208806,2
74,77,0.0220907,2
615,519,0.0220907,3
203,223,0.0220907,2
400,409,0.0226274,2
219,621,0.024,3
182,198,0.0240832,2
96,118,0.0241661,2
483,486,0.0241661,2
90,115,0.0247386,2
244,279,0.0252982,2
445,476,0.0252982,2
170,177,0.0256125,2
521,556,0.0277849,2
534,552,0.0277849,2
138,151,0.0295296,2
513,620,0.0297321,4
124,129,0.03,2
487,512,0.03,2
363,385,0.032311,2
535,543,0.0329848,2
339,354,0.0384187,2
628,277,0.0386264,3
450,609,0.0393954,3
331,349,0.0393954,2
540,558,0.0394462,2
530,545,0.0396989,2
481,491,0.04,2
520,523,0.04005,2
175,630,0.0404969,3
417,424,0.0404969,2
42,55,0.0411825,2
642,336,0.0417612,3
408,622,0.0425206,3
322,650,0.0427551,4
503,514,0.0428019,2
638,548,0.0429418,3
166,189,0.0429418,2
418,439,0.0436807,2
6,14,0.0440454,2
441,477,0.0444072,2
164,178,0.0447214,2
247,259,0.0447214,2
40,41,0.0449444,2
311,319,0.0453431,2
496,517,0.0456508,2
57,75,0.0463897,2
45,619,0.0466476,3
242,265,0.0468615,2
654,559,0.0472017,4
251,640,0.0472017,4
249,660,0.0475395,3
507,653,0.0475395,3
258,270,0.0480833,2
588,593,0.0480833,2
297,306,0.0481664,2
541,555,0.0481664,2
404,428,0.0483322,2
360,380,0.0483735,2
246,269,0.0483735,2
611,117,0.0483735,4
563,585,0.0494773,2
677,274,0.0494773,3
163,647,0.05,4
54,69,0.0501597,2
326,353,0.0504777,2
211,233,0.0505964,2
81,99,0.050636,2
228,616,0.051264,3
527,674,0.051923,3
85,86,0.0521536,2
565,577,0.0524976,2
89,95,0.0529528,2
80,116,0.0533667,2
320,334,0.0538516,2
387,398,0.0538516,2
323,346,0.0549181,2
335,345,0.0555698,2
659,681,0.0560357,6
213,684,0.0560357,3
31,32,0.0563205,2
125,633,0.0564624,3
340,352,0.0564624,2
453,456,0.0565685,2
92,93,0.0566392,2
546,631,0.0566392,3
581,595,0.0568507,2
692,356,0.0573062,3
402,429,0.0577235,2
464,466,0.0585491,2
88,606,0.0590593,3
222,623,0.0593633,4
368,369,0.059397,2
537,687,0.0599333,4
172,190,0.0604649,2
132,149,0.060531,2
648,437,0.0607289,3
498,518,0.0608276,2
179,180,0.0608276,2
202,226,0.0608276,2
27,698,0.0613514,3
243,668,0.062514,5
649,56,0.0627694,3
542,632,0.0628013,3
446,465,0.063561,2
308,662,0.0636553,3
697,614,0.0640312,5
301,612,0.0640312,3
267,275,0.0644981,2
645,670,0.06456,5
386,391,0.0647765,2
165,186,0.0648999,2
406,422,0.0650538,2
495,663,0.0651153,3
604,173,0.0655134,3
324,350,0.0656049,2
139,155,0.066,2
583,590,0.0660303,2
637,388,0.0662118,3
4,25,0.0668431,2
19,718,0.0668431,4
617,359,0.0670522,3
97,108,0.0672309,2
506,511,0.0681175,2
44,665,0.0684105,4
283,291,0.0689638,2
372,375,0.0697711,2
613,695,0.069857,4
454,468,0.069857,2
452,463,0.0702567,2
216,717,0.0707107,3
381,399,0.0707672,2
367,394,0.0715542,2
3,21,0.072111,2
407,605,0.072111,3
737,33,0.0721388,3
255,272,0.0722496,2
366,750,0.0724983,3
411,414,0.0726911,2
657,738,0.0727186,6
364,370,0.0728011,2
655,716,0.0744043,4
571,575,0.0744043,2
756,434,0.0746726,3
240,260,0.0746726,2
706,430,0.0746726,3
314,723,0.0753923,4
744,382,0.07571,3
492,634,0.0758947,5
78,79,0.0758947,2
449,746,0.0760263,3
