cl1,cl2,dist,new_size
72,74,0.403113,2
229,236,0.412311,2
61,67,0.412311,2
219,241,0.4272,3
228,230,0.4272,2
81,82,0.4272,2
159,160,0.4272,2
186,187,0.430116,2
85,86,0.430116,2
37,44,0.447214,2
242,69,0.45,3
218,220,0.452769,2
113,117,0.460977,2
70,240,0.460977,3
65,66,0.460977,2
215,216,0.460977,2
231,232,0.460977,2
45,49,0.460977,2
180,247,0.460977,3
133,138,0.471699,2
254,84,0.471699,3
41,42,0.474342,2
103,104,0.474342,2
83,260,0.492443,4
234,235,0.492443,2
243,237,0.492443,4
206,208,0.5,2
87,88,0.5,2
28,29,0.5,2
58,59,0.5,2
156,246,0.5,3
147,148,0.502494,2
30,34,0.502494,2
250,71,0.502494,4
75,77,0.502494,2
184,222,0.502494,2
142,143,0.502494,2
255,265,0.502494,6
269,273,0.509902,6
253,245,0.509902,5
258,251,0.509902,5
256,233,0.509902,3
141,146,0.509902,2
102,262,0.514782,3
137,259,0.514782,3
227,244,0.514782,3
177,178,0.514782,2
267,89,0.514782,3
280,277,0.514782,11
134,284,0.522015,4
288,181,0.522015,12
76,78,0.522015,2
270,172,0.522015,4
214,290,0.522015,13
217,293,0.522015,14
263,287,0.531507,7
118,119,0.531507,2
60,278,0.538516,7
281,239,0.540833,4
213,264,0.540833,3
25,268,0.540833,3
295,68,0.540833,8
27,31,0.540833,2
100,101,0.540833,2
109,296,0.540833,3
14,15,0.55,2
299,294,0.55,17
279,90,0.552268,6
63,64,0.552268,2
164,166,0.552268,2
221,285,0.552268,4
305,16,0.559017,3
55,56,0.559017,2
128,130,0.559017,2
132,289,0.559017,5
286,189,0.559017,3
307,301,0.559017,14
300,26,0.559017,4
144,145,0.559017,2
303,108,0.559017,3
112,252,0.559017,3
129,313,0.565685,3
123,321,0.565685,4
310,306,0.565685,21
249,50,0.570088,3
223,224,0.570088,2
121,122,0.570088,2
308,316,0.570088,16
8,9,0.570088,2
297,327,0.570088,23
95,98,0.570088,2
24,272,0.583095,3
331,35,0.583095,4
97,319,0.583095,4
320,304,0.583095,6
311,17,0.583095,4
324,257,0.583095,5
322,131,0.583095,5
309,167,0.583095,3
171,315,0.585235,4
2,3,0.585235,2
13,335,0.585235,5
323,188,0.585235,22
329,248,0.585235,25
106,107,0.585235,2
33,332,0.585235,5
343,73,0.585235,26
337,127,0.585235,6
136,276,0.60208,3
203,210,0.60208,2
209,212,0.60208,2
12,19,0.60208,2
182,275,0.60208,3
352,185,0.60208,4
353,342,0.60208,26
266,354,0.60208,28
340,7,0.60208,3
110,114,0.60208,2
135,348,0.60208,4
355,298,0.60208,32
358,282,0.60208,6
199,238,0.60208,2
334,120,0.604152,7
261,43,0.604152,3
341,18,0.604152,6
23,345,0.604152,6
80,346,0.604152,27
347,314,0.604152,11
357,116,0.608276,3
328,11,0.608276,3
333,330,0.608276,6
165,338,0.608276,4
336,62,0.608276,6
111,362,0.608276,8
368,367,0.608276,14
371,179,0.608276,5
51,366,0.610328,28
32,365,0.610328,7
339,292,0.610328,8
190,207,0.610328,2
372,376,0.610328,34
124,374,0.610328,15
48,380,0.618466,35
193,379,0.618466,3
356,369,0.618466,6
359,361,0.626498,34
325,226,0.626498,3
202,211,0.632456,2
381,360,0.632456,21
161,162,0.636396,2
384,351,0.636396,8
364,390,0.640312,14
377,317,0.640312,11
382,283,0.640312,38
38,363,0.640312,4
6,391,0.65,15
183,194,0.65,2
395,21,0.65,16
22,392,0.65,12
126,388,0.65,22
383,385,0.65,37
397,398,0.65,28
401,36,0.65192,29
400,191,0.65192,38
386,403,0.65192,41
402,46,0.657647,30
326,399,0.657647,24
54,312,0.667083,3
140,271,0.667083,3
274,291,0.667083,4
393,91,0.667083,39
96,370,0.67082,7
378,404,0.67082,49
4,405,0.67082,31
225,412,0.67082,50
155,389,0.67082,3
406,139,0.67082,25
375,170,0.67082,6
411,99,0.672681,8
176,414,0.672681,51
302,413,0.672681,33
418,373,0.680074,16
410,394,0.680074,43
125,416,0.680074,26
419,417,0.680074,57
424,350,0.680074,59
149,150,0.680074,2
415,425,0.694622,62
423,115,0.701783,27
407,57,0.701783,4
420,10,0.701783,34
422,93,0.701783,44
431,105,0.707107,45
5,430,0.707107,35
433,432,0.707107,80
52,53,0.707107,2
434,421,0.707107,96
428,408,0.707107,30
197,198,0.707107,2
436,409,0.707107,100
200,427,0.710634,63
438,440,0.715891,65
437,439,0.715891,130
175,441,0.715891,66
173,443,0.715891,67
195,196,0.715891,2
442,435,0.72111,132
429,446,0.72111,136
318,447,0.743303,138
426,151,0.743303,3
168,444,0.743303,68
349,387,0.743303,4
448,92,0.751665,139
153,163,0.751665,2
452,39,0.756637,140
79,454,0.761577,141
344,455,0.764853,143
456,449,0.777817,146
20,457,0.782624,147
47,152,0.782624,2
450,451,0.782624,72
459,458,0.790569,149
157,158,0.806226,2
205,460,0.806226,73
463,396,0.813941,75
154,464,0.813941,76
94,461,0.813941,150
169,465,0.832166,77
466,467,0.838153,227
468,174,0.8544,228
469,445,0.873212,230
462,470,0.886002,232
40,471,0.886002,233
201,472,0.912414,234
473,192,0.917878,235
474,453,0.917878,237
204,475,0.919239,238
0,1,1.25399,2
477,476,2.64433,240
