cl1,cl2,dist,new_size
619,793,0.00384464,2
834,987,0.00559943,2
336,381,0.0058636,2
314,401,0.00752032,2
826,867,0.00903847,2
681,815,0.00910128,2
89,153,0.00949865,2
2,30,0.00979871,2
343,350,0.0101618,2
665,790,0.0101701,2
266,316,0.0103771,2
758,822,0.0110737,2
224,291,0.0112523,2
435,475,0.0115539,2
233,398,0.0119555,2
422,542,0.0121537,2
532,607,0.0122538,2
146,193,0.0131123,2
684,721,0.0131697,2
349,365,0.0134021,2
678,716,0.0142231,2
244,1002,0.0148824,3
110,118,0.0150907,2
50,160,0.0153389,2
664,707,0.0153675,2
859,950,0.0155326,2
671,701,0.0156119,2
641,725,0.0156343,2
306,310,0.0160482,2
442,529,0.0162215,2
315,393,0.0162599,2
195,204,0.0163917,2
428,554,0.0166423,2
250,261,0.016692,2
267,302,0.0170888,2
828,875,0.0171226,2
340,363,0.0174777,2
73,84,0.0176823,2
919,942,0.0181881,2
897,905,0.0185605,2
29,64,0.0186554,2
812,819,0.0186813,2
138,1031,0.0188411,3
231,402,0.0190762,2
847,881,0.019233,2
1009,1026,0.0194262,4
474,502,0.0194373,2
615,738,0.0194748,2
60,180,0.0196958,2
465,590,0.0198167,2
521,553,0.0198279,2
879,933,0.0201399,2
454,602,0.0206967,2
626,772,0.0207325,2
727,808,0.0209091,2
133,202,0.0210092,2
348,1033,0.0211153,3
610,1018,0.0211378,3
915,934,0.0214822,2
841,869,0.0215479,2
32,48,0.0216643,2
464,527,0.0218139,2
840,949,0.0220981,2
78,186,0.0221307,2
726,749,0.0221871,2
877,901,0.0222496,2
497,517,0.0222515,2
668,1045,0.0224385,5
894,1065,0.0224995,3
439,1032,0.0227393,3
732,775,0.0229808,2
245,335,0.0230857,2
147,1007,0.0231467,3
346,368,0.0232109,2
910,973,0.0233727,2
440,560,0.0234291,2
526,567,0.0234494,2
1,6,0.023727,2
164,1063,0.0237522,3
292,1036,0.0239157,3
71,203,0.0240214,2
661,789,0.0240645,2
620,629,0.0241245,2
220,1056,0.0242076,4
614,818,0.024277,2
658,688,0.0244764,2
114,149,0.0245394,2
128,1037,0.0246455,3
456,493,0.024704,2
874,913,0.0247348,2
0,37,0.0247554,2
948,989,0.0249342,2
379,405,0.0249717,2
712,791,0.024975,2
181,207,0.0251234,2
229,1003,0.0252021,3
246,271,0.0253551,2
916,1068,0.025454,4
419,538,0.0254782,2
937,1044,0.02577,3
242,263,0.0258571,2
568,605,0.0261975,2
463,466,0.0263074,2
1057,1081,0.0263543,5
356,400,0.0269664,2
843,853,0.0271876,2
311,317,0.0272773,2
755,804,0.0272944,2
876,1059,0.0275087,3
534,1050,0.0276684,3
359,377,0.0277153,2
10,117,0.0279121,2
550,576,0.0281929,2
663,1107,0.0284065,3
878,920,0.028421,2
525,1075,0.0284302,3
501,1015,0.0285165,3
58,197,0.0285246,2
235,1100,0.028599,3
566,1102,0.0286651,3
646,816,0.0286702,2
262,394,0.0286848,2
927,1062,0.0290044,3
52,97,0.0292648,2
289,323,0.0294776,2
656,723,0.0296035,2
918,951,0.0297646,2
53,129,0.0300752,2
272,297,0.0300756,2
523,535,0.0300888,2
446,484,0.0301988,2
56,116,0.0302866,2
105,154,0.0304625,2
608,1129,0.0305365,3
184,187,0.0306378,2
258,352,0.0307303,2
839,930,0.0308537,2
900,908,0.0309499,2
731,1041,0.0311523,3
438,570,0.0311857,2
248,1096,0.0312623,3
625,660,0.0314435,2
981,1108,0.0314794,4
331,355,0.031509,2
1123,1131,0.0316461,4
829,863,0.0316705,2
321,408,0.0316925,2
856,1035,0.0318215,3
62,166,0.0318682,2
926,995,0.0320087,2
453,565,0.0323084,2
914,1001,0.0323335,3
256,374,0.0323548,2
858,906,0.0323621,2
1109,1115,0.0324495,6
49,1040,0.0324658,3
20,31,0.0325691,2
561,1101,0.0325816,3
255,345,0.0326023,2
83,216,0.0329733,2
670,1011,0.0331727,3
979,1149,0.0332917,3
427,584,0.0333379,2
455,1157,0.0333391,4
494,574,0.0334212,2
705,825,0.0334343,2
275,1012,0.0336283,3
765,1005,0.0337736,3
123,212,0.0341195,2
675,747,0.0345596,2
14,95,0.0346034,2
630,757,0.0352742,2
92,113,0.035315,2
852,963,0.0353451,2
801,1064,0.0353812,3
483,519,0.0354079,2
510,562,0.0355132,2
537,603,0.0358612,2
274,369,0.0358616,2
885,1142,0.0360461,5
34,82,0.0362387,2
802,820,0.0363522,2
33,51,0.0367152,2
499,582,0.0368774,2
477,503,0.0371251,2
1091,1179,0.0371568,7
694,1174,0.0371822,4
540,543,0.0372289,2
638,823,0.0373995,2
1139,1154,0.0374203,8
169,1060,0.037565,3
23,182,0.0376609,2
1116,1150,0.0378664,5
730,1047,0.0378759,3
68,198,0.0379205,2
313,1140,0.0381515,4
61,1180,0.0382519,3
842,1038,0.0382554,3
260,351,0.0383367,2
305,1083,0.0384077,5
718,781,0.038521,2
1024,1188,0.0385545,4
698,739,0.0387455,2
171,172,0.0388259,2
221,286,0.0389188,2
170,1006,0.0389333,3
142,1048,0.0389883,3
689,1125,0.0390053,3
813,1070,0.039036,3
585,1189,0.0392485,9
551,1184,0.0392641,3
513,1192,0.0396799,6
598,1119,0.0397977,4
87,1156,0.0398905,3
635,700,0.0398939,2
659,821,0.0399873,2
96,112,0.0399976,2
1071,1204,0.0400019,4
40,120,0.0401651,2
42,86,0.0401962,2
945,980,0.0402653,2
452,545,0.0403853,2
1046,1112,0.0405051,4
397,1010,0.0406898,3
115,1144,0.0407024,5
234,1028,0.0408001,3
294,339,0.0408657,2
593,1162,0.0409947,3
639,748,0.0411293,2
67,188,0.041135,2
152,1206,0.0412908,4
8,201,0.0413621,2
299,326,0.0415248,2
158,178,0.0424614,2
460,1029,0.0425617,3
270,1146,0.042809,3
600,1209,0.0432761,10
746,1053,0.0433047,3
779,1214,0.0433423,3
252,300,0.0434586,2
476,512,0.0435969,2
1008,1019,0.0437149,4
21,70,0.0437407,2
282,1226,0.0437941,3
909,977,0.0441235,2
38,176,0.0442469,2
720,1169,0.0442935,3
225,1225,0.0443235,4
481,515,0.0444877,2
44,185,0.0444891,2
490,1183,0.0445453,3
420,589,0.044579,2
319,1121,0.0445946,3
1042,1216,0.0446771,5
803,1000,0.0446832,3
768,795,0.0446988,2
46,1172,0.0449014,3
163,179,0.0450041,2
1087,1242,0.0450079,5
1023,1077,0.0450167,4
124,148,0.0450749,2
882,1004,0.0453014,3
563,596,0.0453287,2
479,489,0.0454735,2
938,1025,0.0455797,3
687,767,0.0456516,2
9,74,0.0456737,2
372,407,0.0458295,2
692,1181,0.0459811,3
480,1234,0.0460759,4
850,1145,0.0462848,3
1186,1228,0.0463042,6
1126,1151,0.0463611,5
814,1268,0.0463639,4
318,1252,0.0464792,4
426,449,0.0467898,2
1085,1215,0.046966,4
621,763,0.0471325,2
1143,1247,0.0471469,6
347,412,0.0472213,2
624,674,0.047304,2
969,997,0.0475224,2
77,1230,0.047616,5
640,1171,0.047627,3
903,988,0.0476487,2
970,1122,0.0477381,4
143,165,0.0477998,2
1095,1198,0.0478045,5
65,137,0.047873,2
861,904,0.0479349,2
500,592,0.0479752,2
269,1217,0.0481315,5
437,445,0.0481668,2
616,1093,0.0485622,3
686,711,0.0486649,2
836,1220,0.0487368,3
573,1133,0.0487454,4
357,1158,0.0488845,3
650,741,0.0488941,2
884,1270,0.0489202,4
632,729,0.0489473,2
396,1106,0.0490064,3
384,1073,0.0490172,3
714,787,0.0491767,2
1267,1279,0.0493188,4
486,1221,0.0496389,3
192,1282,0.0498422,6
470,579,0.0500836,2
964,1272,0.0501195,6
1137,1308,0.0502038,8
284,1278,0.0502956,7
745,783,0.0503534,2
849,959,0.0505488,2
371,1287,0.0506674,6
744,1311,0.0506856,3
22,1245,0.0507021,3
740,1254,0.0508686,4
69,1219,0.0508828,3
102,156,0.050885,2
1163,1296,0.0509186,8
583,1251,0.051074,3
508,1292,0.0510968,3
953,1089,0.0511653,3
773,1303,0.0512198,3
1159,1170,0.0512794,4
239,370,0.0513171,2
627,642,0.0513662,2
1190,1258,0.05143,8
998,1097,0.0519137,5
547,1269,0.0519172,5
434,488,0.0520829,2
1275,1305,0.0521179,5
506,514,0.0522775,2
870,985,0.0523893,2
238,1235,0.0523923,4
436,1211,0.0523972,7
645,756,0.0525061,2
736,786,0.0525789,2
735,1160,0.0526028,4
848,1322,0.0526435,4
333,1304,0.052805,5
854,1185,0.052819,8
1231,1253,0.0529504,7
1136,1312,0.05319,4
135,183,0.0532919,2
1233,1315,0.0534906,5
330,392,0.0536148,2
941,1299,0.0537182,5
1090,1306,0.0537207,8
416,548,0.0537794,2
27,1344,0.0538303,3
1212,1329,0.0539923,9
743,1294,0.0540644,3
17,173,0.0540883,2
1178,1243,0.0540894,5
281,1354,0.0541604,6
443,597,0.0542485,2
168,209,0.0544042,2
1342,1345,0.0545116,12
385,1124,0.0545433,3
708,719,0.0545691,2
108,157,0.054613,2
199,1229,0.0546701,3
595,1177,0.0547704,3
569,1013,0.055033,3
273,277,0.0551789,2
98,1072,0.0551866,4
955,1347,0.0552472,6
533,594,0.0552586,2
295,1310,0.0553275,8
63,111,0.0553845,2
457,1351,0.0554023,10
485,555,0.0554894,2
844,965,0.055667,2
846,993,0.0557958,2
421,1320,0.0559287,4
1055,1362,0.0562174,5
25,1257,0.0563088,3
682,737,0.0563187,2
766,796,0.0563445,2
498,531,0.0566442,2
516,1227,0.056736,4
1030,1043,0.05679,4
354,1241,0.0567918,5
1273,1293,0.0568633,7
587,1335,0.0570911,8
528,1349,0.0571863,3
222,1152,0.0572269,3
929,939,0.057272,2
1224,1266,0.0575213,7
399,1291,0.0575322,6
751,810,0.0575443,2
830,975,0.0575899,2
699,794,0.0576612,2
631,800,0.0579044,2
298,1239,0.0579706,3
130,141,0.0579826,2
1259,1327,0.0580228,12
1337,1393,0.0580801,4
243,278,0.058224,2
91,1117,0.0582241,3
693,797,0.058232,2
226,296,0.0582583,2
1205,1348,0.058273,11
1195,1355,0.0584414,10
1052,1380,0.0584692,4
647,733,0.0585564,2
931,1343,0.0590631,5
126,1376,0.0592197,6
360,391,0.0592939,2
761,1200,0.0593355,3
325,1365,0.0593774,3
1332,1368,0.0594136,4
268,1232,0.0595816,3
835,1392,0.0596948,3
100,200,0.0598813,2
1276,1300,0.0599565,6
1191,1403,0.0600224,13
544,1187,0.0601946,3
992,1341,0.0603203,9
496,1371,0.0606906,11
1285,1388,0.060744,6
691,1298,0.0609231,3
923,1058,0.0611788,3
1331,1375,0.0612429,9
208,1132,0.0612663,3
1054,1398,0.0612999,6
1288,1389,0.0613809,9
1084,1352,0.0614241,5
76,1196,0.0615193,4
139,1086,0.0617968,3
769,1201,0.0618493,5
81,1417,0.0618794,14
581,1236,0.0620049,11
1161,1407,0.0620157,8
309,1409,0.0621747,3
864,967,0.0623102,2
441,520,0.06239,2
1286,1357,0.0623919,4
1104,1387,0.0624784,5
961,1309,0.0625013,9
1264,1281,0.0625068,5
104,1318,0.0626535,3
403,1413,0.0627614,4
1165,1326,0.0629895,4
1420,1433,0.0630388,22
750,1103,0.0631598,6
697,1113,0.0634059,4
39,1213,0.063473,4
450,1405,0.0635453,5
912,1436,0.0636144,3
55,215,0.0636476,2
219,1359,0.0639577,4
690,1416,0.0641765,7
612,784,0.0642201,2
575,1016,0.0642482,3
742,777,0.0642691,2
1066,1445,0.0644337,24
1324,1427,0.0644791,13
307,1399,0.0646582,3
1255,1446,0.064768,8
241,1439,0.0649358,6
559,1385,0.0650632,9
962,1105,0.0651139,3
265,1118,0.0651934,4
471,1321,0.065239,4
788,1428,0.0652506,6
418,1372,0.0652901,3
1361,1458,0.0653696,15
472,601,0.0656028,2
99,210,0.0656385,2
1367,1423,0.065693,9
413,1098,0.0658304,3
888,960,0.0658467,2
1462,1467,0.0659598,12
1193,1460,0.0660192,11
643,1454,0.0660679,3
1208,1456,0.0661645,5
1414,1421,0.0661776,9
617,1453,0.0662566,8
679,1384,0.0664176,8
1358,1366,0.0667184,16
417,1222,0.0670929,5
1316,1480,0.0671157,12
809,1238,0.0672417,4
1271,1323,0.0672597,9
1079,1382,0.067488,7
12,1022,0.0677296,3
811,1338,0.0680873,5
685,722,0.0681801,2
1207,1426,0.068333,9
932,1289,0.0683557,3
1386,1412,0.0685253,7
683,1483,0.068839,13
1223,1486,0.0691778,10
280,1369,0.0692577,9
236,1199,0.069259,6
1301,1496,0.0692714,9
1080,1451,0.0694024,4
1363,1474,0.0694287,15
1210,1492,0.0695946,10
415,504,0.0698407,2
1336,1488,0.0702084,7
155,1317,0.0702206,4
1082,1120,0.0702632,4
1334,1404,0.0703234,14
131,174,0.070472,2
1167,1280,0.0705181,5
958,1039,0.070565,3
332,1505,0.0705798,15
613,1477,0.070589,6
1461,1509,0.0706285,21
75,1397,0.0706624,13
591,604,0.0708311,2
1475,1490,0.0708485,20
657,798,0.0708623,2
817,1502,0.0709121,8
677,1447,0.0709957,5
36,57,0.0709966,2
634,672,0.0711018,2
1325,1390,0.0711259,8
492,1248,0.0712013,3
1455,1500,0.0712394,13
144,206,0.0712547,2
1494,1511,0.0712812,31
1246,1516,0.071517,11
1237,1444,0.0715759,7
1182,1408,0.0716661,8
1027,1410,0.0716935,5
308,390,0.0717815,2
1452,1464,0.0720022,8
1314,1489,0.0720057,5
389,1524,0.0721512,32
1440,1478,0.0721591,18
872,1434,0.0722485,9
288,386,0.0723747,2
159,1429,0.072383,5
320,1497,0.072514,10
710,792,0.0725966,2
1297,1532,0.072601,35
1422,1485,0.0726452,12
358,361,0.0730941,2
7,1078,0.0731173,4
54,1527,0.0731685,9
414,1457,0.0731901,25
892,1534,0.0732437,10
1499,1521,0.073269,18
1379,1540,0.0733393,14
883,1441,0.073463,6
1127,1256,0.0734993,5
228,1537,0.07368,11
1175,1449,0.0737736,7
943,1295,0.0738194,4
1135,1411,0.0738985,5
805,1547,0.0739841,15
1067,1525,0.0741198,16
944,1533,0.0742952,19
893,1244,0.0742961,3
1328,1463,0.0743157,8
704,759,0.0743863,2
1530,1539,0.074668,43
1074,1558,0.0748971,10
251,1495,0.0751942,10
1194,1203,0.0752212,4
557,1088,0.0752258,3
1330,1564,0.0755197,5
28,121,0.0755463,2
760,1559,0.0757505,3
16,167,0.0757785,2
831,1450,0.0760456,4
1479,1493,0.0760512,21
511,1164,0.0761281,3
651,1514,0.0763396,21
1383,1560,0.0763644,48
1265,1567,0.0764865,5
1261,1552,0.0765122,7
276,367,0.0765742,2
628,648,0.076862,2
667,785,0.0768971,2
259,1110,0.0769459,3
1468,1503,0.0772337,19
35,1518,0.0772619,3
283,1395,0.0774651,4
1570,1572,0.077664,42
873,921,0.0778055,2
1313,1553,0.077857,11
623,1528,0.0780744,6
924,936,0.0781628,2
935,1114,0.078178,3
1555,1583,0.0781917,58
1173,1473,0.0782432,4
1147,1339,0.0785659,7
1522,1571,0.0786296,16
1562,1573,0.0789898,58
140,1350,0.0791712,4
1333,1373,0.079183,4
865,1557,0.0795238,4
1582,1593,0.0795247,62
1138,1277,0.0795706,5
1549,1581,0.0796313,8
1432,1599,0.0797139,22
880,1595,0.0797842,5
1168,1448,0.0799767,6
1538,1577,0.0800805,4
1049,1469,0.0802798,4
855,1561,0.0802873,11
214,1487,0.0803534,4
425,1565,0.0804302,6
1536,1543,0.0805271,14
1544,1546,0.0806215,43
611,1401,0.080652,3
1589,1603,0.0806831,62
1218,1606,0.0807339,6
1556,1591,0.0808098,26
1249,1563,0.0809302,6
1602,1612,0.0812055,12
1197,1613,0.0812465,29
717,754,0.0813835,2
1594,1608,0.0814738,18
976,1569,0.0815469,5
190,1542,0.0815576,5
896,1548,0.0815732,7
898,983,0.0817309,2
982,1619,0.0821463,6
448,507,0.0821576,2
837,1584,0.0822816,3
1615,1618,0.0822999,30
780,1611,0.0826405,63
125,1498,0.0827153,5
633,715,0.082862,2
1526,1627,0.0829113,70
304,338,0.0829121,2
1550,1579,0.083042,14
922,1575,0.0832205,8
1111,1628,0.0832426,7
13,1580,0.0834989,20
106,211,0.0837434,2
312,409,0.0839983,2
66,1370,0.0844084,3
891,1596,0.0851613,5
337,1597,0.0852419,63
145,1155,0.0852437,4
1631,1640,0.0855406,65
1484,1519,0.0856129,6
509,1501,0.0856233,3
1523,1626,0.0858524,32
972,1153,0.0859399,3
1554,1598,0.0859875,20
1616,1621,0.0860306,36
1431,1647,0.0862121,25
80,1506,0.0862598,3
971,1545,0.0863671,11
1319,1551,0.086586,15
728,1476,0.0870659,4
1250,1364,0.0874287,6
636,1020,0.0876614,3
1507,1531,0.0877393,10
1346,1637,0.0877395,4
1605,1651,0.0878551,22
524,1069,0.088016,4
482,530,0.0881224,2
1260,1645,0.0882392,34
1377,1512,0.088297,16
652,706,0.088405,2
1166,1642,0.0884712,68
189,1661,0.0885924,35
1510,1517,0.088605,11
122,1600,0.0887249,23
1290,1660,0.0890199,4
1588,1639,0.0891379,8
1623,1633,0.0892146,14
1400,1614,0.0892896,9
1520,1664,0.0892919,76
1130,1592,0.089418,18
431,432,0.0894566,2
1662,1671,0.0897287,25
328,1302,0.0898211,4
287,387,0.0899934,2
957,1625,0.0900074,4
1424,1609,0.0900343,52
18,1353,0.090325,3
1585,1672,0.0903975,87
230,1274,0.0904499,5
1638,1650,0.0904656,6
134,213,0.0906158,2
1574,1643,0.0907324,11
1681,1682,0.0907942,92
644,770,0.0908147,2
1630,1649,0.0908378,95
1374,1669,0.0908407,10
857,1471,0.0910499,10
1425,1667,0.0911255,26
223,1686,0.0911951,93
1340,1402,0.0914876,7
571,1679,0.0918203,53
845,956,0.0920827,2
824,1586,0.0921345,7
952,1689,0.0921997,11
59,161,0.0923038,2
1607,1652,0.0926352,21
47,85,0.0928975,2
1076,1381,0.0929005,6
1657,1692,0.0932324,97
194,1442,0.0934302,4
832,871,0.0934707,2
1634,1665,0.0935555,42
1378,1653,0.0936181,6
1419,1697,0.0936837,20
327,362,0.0937462,2
366,1535,0.0939237,3
799,1688,0.0940082,96
1676,1709,0.0942734,7
862,968,0.0943556,2
1635,1705,0.0943576,62
868,890,0.0944558,2
1648,1707,0.0949529,56
341,1711,0.0951095,8
925,1658,0.095311,23
253,380,0.0956973,2
1610,1666,0.0957453,14
433,1701,0.0962067,7
1617,1706,0.0962154,8
1470,1683,0.0964489,8
1148,1713,0.096868,64
1673,1720,0.0968923,25
1482,1604,0.0970558,9
1694,1699,0.0971819,74
940,1715,0.0974155,57
666,734,0.0975678,2
1675,1691,0.0977593,51
3,1723,0.0978058,65
1678,1727,0.0984224,61
505,588,0.0986057,2
1017,1729,0.0986177,53
1094,1733,0.0992054,55
1710,1728,0.0998368,98
1021,1702,0.100142,100
1240,1472,0.100187,5
1690,1731,0.10024,71
162,1430,0.100331,4
556,1724,0.101341,26
1034,1693,0.101536,9
232,1736,0.101637,101
285,364,0.10184,2
1722,1730,0.101886,73
907,1717,0.101901,24
999,1738,0.102005,72
444,451,0.102494,2
1632,1742,0.102496,115
709,713,0.102526,2
1719,1735,0.102789,112
753,778,0.102926,2
1435,1443,0.102978,7
279,410,0.103321,2
93,1734,0.103508,56
1680,1744,0.103558,76
1726,1740,0.103734,100
218,1748,0.10383,116
1754,1755,0.103958,132
1508,1587,0.104439,5
522,1668,0.104598,5
227,406,0.104984,2
1656,1750,0.105034,122
539,1756,0.10505,101
1601,1745,0.105057,29
467,495,0.105237,2
411,1752,0.106088,8
423,1747,0.106199,3
771,1360,0.106514,3
1725,1763,0.10676,110
1051,1590,0.107554,6
662,680,0.10827,2
79,151,0.108419,2
899,1746,0.108499,73
1646,1773,0.108591,76
26,1758,0.1088,133
1307,1769,0.109423,112
637,1762,0.109536,123
1764,1770,0.1097,35
237,247,0.109795,2
1757,1766,0.109821,124
1481,1775,0.109848,149
1721,1777,0.109891,131
103,1781,0.110372,150
301,1753,0.110405,3
461,1767,0.110536,4
558,1418,0.110545,4
776,1663,0.110572,3
382,1780,0.110898,125
424,468,0.111157,2
1774,1778,0.111177,111
1396,1783,0.111455,152
5,1684,0.11161,3
1263,1624,0.111799,4
1641,1791,0.111833,156
1459,1788,0.112022,128
88,150,0.112071,2
