cl1,cl2,dist,new_size
316,339,0.00282911,2
337,500,0.00450715,3
208,226,0.00641207,2
218,299,0.00684219,2
70,77,0.00772016,2
409,493,0.0103168,2
66,73,0.0134031,2
24,31,0.0147057,2
16,55,0.0153312,2
431,496,0.0170406,2
442,454,0.0173426,2
207,240,0.0176303,2
424,462,0.0181488,2
399,452,0.0188962,2
148,168,0.0190194,2
22,30,0.0190887,2
428,469,0.019381,2
225,244,0.0197978,2
176,184,0.0208136,2
403,405,0.0217733,2
259,274,0.0219157,2
149,186,0.0219474,2
6,50,0.0225354,2
261,277,0.0228944,2
507,95,0.022952,3
510,492,0.0232773,3
159,172,0.0238106,2
38,52,0.0244526,2
271,283,0.024679,2
351,385,0.0252681,2
397,416,0.0262361,2
356,365,0.0271546,2
367,379,0.0275116,2
413,446,0.027675,2
325,332,0.0279877,2
123,146,0.0282182,2
1,42,0.0288463,2
312,354,0.028939,2
503,233,0.0300153,3
43,224,0.0305222,2
366,370,0.0310422,2
35,88,0.031074,2
152,167,0.0312591,2
29,53,0.0315276,2
105,128,0.0316954,2
4,68,0.0316987,2
107,194,0.0330062,2
212,215,0.0334784,2
533,473,0.0343217,3
522,541,0.0343992,4
118,136,0.0345072,2
132,190,0.034719,2
37,93,0.0349384,2
517,287,0.0354083,3
191,195,0.0357531,2
40,504,0.0358122,3
426,477,0.0367369,2
319,537,0.0368756,3
13,87,0.0373367,2
521,179,0.0374901,3
546,199,0.0378606,3
345,359,0.0379238,2
520,294,0.0383236,3
547,264,0.0388422,3
247,284,0.0390848,2
549,81,0.0397228,5
303,358,0.0397879,2
501,368,0.0399592,4
114,124,0.0399672,2
515,74,0.0401328,3
113,163,0.0403366,2
254,563,0.0406612,4
505,466,0.0408354,3
414,443,0.0411125,2
255,258,0.0414832,2
348,375,0.041694,2
333,364,0.0423473,2
436,464,0.0425518,2
393,439,0.0426022,2
147,185,0.0426074,2
534,566,0.0428229,4
511,253,0.0435672,3
432,490,0.0435826,2
214,267,0.0436734,2
216,523,0.0439304,3
144,162,0.0451379,2
14,508,0.0451646,3
9,565,0.0458275,6
106,139,0.0463113,2
545,98,0.0463755,3
578,457,0.0470566,3
398,440,0.0474443,2
453,582,0.0475039,3
430,476,0.0489572,2
586,94,0.0499316,4
237,266,0.0516959,2
568,178,0.0517617,3
206,248,0.0518264,2
343,349,0.0531209,2
154,158,0.0532923,2
12,56,0.0535591,2
2,51,0.0535649,2
406,421,0.0537143,2
581,249,0.0537927,4
220,285,0.0540254,2
